group,experience_short,n,total_group,percentage
Europa Occidental,Ya estaba presente,117,1075,10.883720930232558
Europa Occidental,Implementada,167,1075,15.534883720930232
Europa Occidental,Buscó información,210,1075,19.53488372093023
Europa Occidental,La conoce / la consideraría,282,1075,26.232558139534884
Europa Occidental,No la conoce,177,1075,16.465116279069765
Europa Occidental,Nunca la usaría,122,1075,11.348837209302326
Europa del Este,Ya estaba presente,81,789,10.26615969581749
Europa del Este,Implementada,105,789,13.307984790874524
Europa del Este,Buscó información,131,789,16.603295310519645
Europa del Este,La conoce / la consideraría,246,789,31.1787072243346
Europa del Este,No la conoce,135,789,17.110266159695815
Europa del Este,Nunca la usaría,91,789,11.533586818757922
Europa del Norte,Ya estaba presente,100,766,13.054830287206268
Europa del Norte,Implementada,117,766,15.274151436031334
Europa del Norte,Buscó información,94,766,12.27154046997389
Europa del Norte,La conoce / la consideraría,200,766,26.109660574412537
Europa del Norte,No la conoce,144,766,18.79895561357702
Europa del Norte,Nunca la usaría,111,766,14.490861618798956
Europa del Sur,Ya estaba presente,377,3336,11.30095923261391
Europa del Sur,Implementada,783,3336,23.471223021582734
Europa del Sur,Buscó información,486,3336,14.568345323741008
Europa del Sur,La conoce / la consideraría,1032,3336,30.935251798561154
Europa del Sur,No la conoce,392,3336,11.750599520383693
Europa del Sur,Nunca la usaría,266,3336,7.973621103117506
