group,experience_short,n,total_group,percentage
No,Ya estaba presente,289,2361,12.240576027107158
No,Implementada,501,2361,21.21982210927573
No,Buscó información,321,2361,13.595933926302415
No,La conoce / la consideraría,714,2361,30.241423125794153
No,No la conoce,312,2361,13.214739517153747
No,Nunca la usaría,224,2361,9.487505294366795
Sí,Ya estaba presente,371,3454,10.741169658367111
Sí,Implementada,626,3454,18.12391430225825
Sí,Buscó información,543,3454,15.720903300521135
Sí,La conoce / la consideraría,1042,3454,30.1679212507238
Sí,No la conoce,515,3454,14.910248986682106
Sí,Nunca la usaría,357,3454,10.335842501447596
