group,experience_short,n,total_group,percentage
Clima frío,Ya estaba presente,35,254,13.779527559055119
Clima frío,Implementada,37,254,14.566929133858267
Clima frío,Buscó información,51,254,20.078740157480315
Clima frío,La conoce / la consideraría,75,254,29.527559055118108
Clima frío,No la conoce,41,254,16.141732283464567
Clima frío,Nunca la usaría,15,254,5.905511811023622
Clima subtropical,Ya estaba presente,299,2365,12.642706131078224
Clima subtropical,Implementada,580,2365,24.52431289640592
Clima subtropical,Buscó información,349,2365,14.756871035940803
Clima subtropical,La conoce / la consideraría,664,2365,28.076109936575055
Clima subtropical,No la conoce,293,2365,12.389006342494714
Clima subtropical,Nunca la usaría,180,2365,7.6109936575052854
Clima templado,Ya estaba presente,351,3442,10.19755955839628
Clima templado,Implementada,575,3442,16.705403834979663
Clima templado,Buscó información,528,3442,15.339918651946544
Clima templado,La conoce / la consideraría,1051,3442,30.53457292271935
Clima templado,No la conoce,522,3442,15.165601394538058
Clima templado,Nunca la usaría,415,3442,12.056943637420105
