group,experience_short,n,total_group,percentage
No universitaria,Ya estaba presente,145,1411,10.276399716513112
No universitaria,Implementada,288,1411,20.41105598866052
No universitaria,Buscó información,213,1411,15.095676824946846
No universitaria,La conoce / la consideraría,397,1411,28.13607370659107
No universitaria,No la conoce,216,1411,15.308291991495393
No universitaria,Nunca la usaría,152,1411,10.772501771793054
Universitaria,Ya estaba presente,522,4479,11.654387139986603
Universitaria,Implementada,867,4479,19.356999330207636
Universitaria,Buscó información,651,4479,14.534494306764904
Universitaria,La conoce / la consideraría,1377,4479,30.74346952444742
Universitaria,No la conoce,619,4479,13.82004911810672
Universitaria,Nunca la usaría,443,4479,9.890600580486716
