participant_id,year_of_birth,gender,country,residence_region,city_size,climate_zone,employment,education_level,work_home,type_house,tenure,political_orientation_raw,technology_col,experience_raw,technology,experience_clean,education_group,political_orientation,age_group,experience_short
PROLIFIC_6a229a11e392c08625a712bd,1988,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Other household type,Homeowner without mortgage,49,for_each_of_the_following_technologies_decisions_or_behaviours_smart_home_systems_final,I have already actively looked for information about it,Smart home systems,I have already actively looked for information about it,University education,Centre,Millennials,Searched for information
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits_final,I am aware of this and could consider it in the future,Balcony solar kits,I am aware of this and could consider it in the future,University education,Centre,Millennials,Aware / would consider
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,I would never apply / use it,Electricity tariff change,I would never apply / use it,University education,Centre,Millennials,Would never use it
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system_final,I am aware of this and could consider it in the future,Cooling system,I am aware of this and could consider it in the future,University education,Centre,Millennials,Aware / would consider
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,Already present when I moved in,Domestic hot water system,Already present when I moved in,University education,Centre,Millennials,Already present
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle_final,I have installed / implemented / am currently doing this myself,Electric vehicle,I have installed / implemented / am currently doing this myself,University education,Centre,Millennials,Implemented
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_elevator_final,Already present when I moved in,Elevator,Already present when I moved in,University education,Centre,Millennials,Already present
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances_final,I have installed / implemented / am currently doing this myself,Energy-efficient appliances,I have installed / implemented / am currently doing this myself,University education,Centre,Millennials,Implemented
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems_final,I have installed / implemented / am currently doing this myself,Energy storage systems,I have installed / implemented / am currently doing this myself,University education,Centre,Millennials,Implemented
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Couple without children,Homeowner without mortgage,50,for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,Already present when I moved in,Envelope renovation,Already present when I moved in,University education,Centre,Millennials,Already present
