group,experience_short,n,total_group,percentage
Female,Already present,325,2950,11.016949152542372
Female,Implemented,497,2950,16.847457627118644
Female,Searched for information,366,2950,12.40677966101695
Female,Aware / would consider,893,2950,30.271186440677965
Female,Unaware,526,2950,17.83050847457627
Female,Would never use it,343,2950,11.627118644067796
Male,Already present,337,2863,11.770869717079986
Male,Implemented,647,2863,22.59867272092211
Male,Searched for information,483,2863,16.87041564792176
Male,Aware / would consider,852,2863,29.758994062172544
Male,Unaware,301,2863,10.513447432762836
Male,Would never use it,243,2863,8.487600419140762
Other / Prefer not to say,Already present,6,62,9.67741935483871
Other / Prefer not to say,Implemented,17,62,27.419354838709676
Other / Prefer not to say,Searched for information,11,62,17.741935483870968
Other / Prefer not to say,Aware / would consider,16,62,25.806451612903224
Other / Prefer not to say,Unaware,6,62,9.67741935483871
Other / Prefer not to say,Would never use it,6,62,9.67741935483871
