participant_id,year_of_birth,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation
PROLIFIC_69eca1e06533d42ff1306a24,1998,Millennials,Female,France,Western Europe,Town,Temperate climate,Employed,Non-university education,Yes,Couple without children,Homeowner without mortgage,Centre
22,2004,Generation Z,Female,Czech Republic,Eastern Europe,Village or rural area,Temperate climate,Employed,Non-university education,Yes,Household with children,Homeowner with mortgage,Centre
PROLIFIC_69d763affd0080c0bffcd367,1973,Generation X,Female,Belgium,Western Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Centre
PROLIFIC_6103a3ece71ab061d5624402,2001,Generation Z,Female,Latvia,Northern Europe,Small town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Centre
PROLIFIC_69e213021f9224d147d5908b,1983,Generation X,Female,Finland,Northern Europe,Medium-sized city,Cold/Polar climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Right
PROLIFIC_672b6f50809e58bcc13a57b4,1986,Millennials,Female,Slovenia,Southern Europe,Town,Temperate climate,NA,University education,No,Household with children,Homeowner with mortgage,Centre
PROLIFIC_699776549800aa3b0399d642,1999,Millennials,Female,Poland,Eastern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_6a229862a12b21ee07229d8a,NA,NA,Male,Bulgaria,Eastern Europe,Metropolis,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner without mortgage,Far right
PROLIFIC_66045ed49119e654e5454985,1994,Millennials,Other / Prefer not to say,Greece,Southern Europe,Large city,Warm/Mediterranean climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Far left
PROLIFIC_5d6558fa16871700012ea47b,1969,Boomers + Silent Generation,Female,Slovenia,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Centre
PROLIFIC_6a0c5d35ab86f12c44875ea0,1977,Generation X,Female,Poland,Eastern Europe,Metropolis,Temperate climate,Other inactive status,University education,No,Household with children,Homeowner with mortgage,Far left
PROLIFIC_57e928630cb6700001dd8f8a,1993,Millennials,Female,Portugal,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
PROLIFIC_698fa8ec85144121c0643338,2000,Millennials,Female,Poland,Eastern Europe,Metropolis,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Centre
PROLIFIC_697907c3546949f10030ddf1,1981,Generation X,Female,Germany,Western Europe,Metropolis,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Centre
PROLIFIC_5eda1423dd2241017d85fd44,1995,Millennials,Male,Finland,Northern Europe,Town,Cold/Polar climate,Employed,Non-university education,Yes,Couple without children,Rented home,Centre
PROLIFIC_698eea589bb7dd5212c5e3c9,1994,Millennials,Female,France,Western Europe,Small city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
PROLIFIC_69b9bf5f0faac70cd0e24cf6,1979,Generation X,Female,France,Western Europe,Small town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_6a0daf62ec01cd69c04d1da8,1991,Millennials,Male,United Kingdom,Northern Europe,Small city,Temperate climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
PROLIFIC_6990691f5ced735f10ff3bba,1996,Millennials,Female,Poland,Eastern Europe,Large city,Temperate climate,Unemployed,University education,No,Other household type,Rented home,Left
PROLIFIC_61034f24da19cc56177b8b59,1989,Millennials,Female,Czech Republic,Eastern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_697b1a2669af0b3f24790e20,1993,Millennials,Female,France,Western Europe,Village or rural area,Temperate climate,Employed,Non-university education,Yes,Couple without children,Other tenure status,Centre
PROLIFIC_6a0c1bc666f7cca388e60c9c,1965,Boomers + Silent Generation,Female,Sweden,Northern Europe,Small city,Temperate climate,Unemployed,University education,Yes,Couple without children,Homeowner without mortgage,NA
PROLIFIC_698ef5093a80fcd19f394ab2,1984,Generation X,Female,Poland,Eastern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Household with children,Rented home,Left
PROLIFIC_6a2287e1de4099ccf09eac69,1987,Millennials,Female,Italy,Southern Europe,Large city,Warm/Mediterranean climate,Student,University education,Yes,Living alone,Homeowner with mortgage,Left
PROLIFIC_64edf002c925fb837ee0a770,1992,Millennials,Male,Estonia,Northern Europe,Small town,Temperate climate,Employed,Non-university education,Yes,Household with children,Homeowner with mortgage,Right
PROLIFIC_6a06ce99e7948a2b48b807b8,1994,Millennials,Female,Italy,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Living alone,Homeowner with mortgage,Left
PROLIFIC_69f349141b7a57cdd52b671c,1998,Millennials,Female,Poland,Eastern Europe,Small city,Temperate climate,Employed,Non-university education,Yes,Couple without children,Other tenure status,Far left
PROLIFIC_69f732a6afef1c53157db063,1979,Generation X,Female,Germany,Western Europe,Small town,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Centre
PROLIFIC_6a01d2282cff0f54d29e9ce9,1988,Millennials,Female,France,Western Europe,Small city,Temperate climate,Other inactive status,University education,Yes,Household with children,Rented home,Left
PROLIFIC_5e9c3ff1cf719d151612648f,1969,Boomers + Silent Generation,Female,Italy,Southern Europe,Large city,Warm/Mediterranean climate,Employed,Non-university education,No,Living alone,Homeowner with mortgage,Centre
PROLIFIC_5cf101ea48405a0018415d09,1974,Generation X,Female,Poland,Eastern Europe,Small city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,NA
PROLIFIC_5f21ff288900cb4709dd49aa,1960,Boomers + Silent Generation,Female,Italy,Southern Europe,Metropolis,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Centre
PROLIFIC_5d7e41aea60f7b00013cf1af,1999,Millennials,Female,Poland,Eastern Europe,Town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_6a204321d4201071efadc417,1987,Millennials,Female,France,Western Europe,Small town,Warm/Mediterranean climate,Other inactive status,NA,Yes,Household with children,Homeowner with mortgage,Centre
PROLIFIC_6976fca13dd3674fd0702a52,1984,Generation X,Male,Czech Republic,Eastern Europe,Small city,Temperate climate,Employed,Non-university education,Yes,Household with children,Homeowner without mortgage,Right
PROLIFIC_6a098c627878fd02b2b0766e,1994,Millennials,Female,Germany,Western Europe,Large city,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_6973653f34c609a7c3420e1c,1990,Millennials,Female,Poland,Eastern Europe,Large city,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Centre
PROLIFIC_698f1a372de6aef866bec656,1983,Generation X,Male,Poland,Eastern Europe,Large city,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Centre
PROLIFIC_69fc2d7674f4ab68ebfd7559,1967,Boomers + Silent Generation,Female,United Kingdom,Northern Europe,Small town,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Left
PROLIFIC_6a19a8b91331b2d709fef8b0,2005,Generation Z,Female,Germany,Western Europe,Town,Temperate climate,Unemployed,Non-university education,No,Household with children,Rented home,Centre
PROLIFIC_6a005381c9f64426562d2587,1995,Millennials,Female,Poland,Eastern Europe,Large city,Temperate climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Far left
PROLIFIC_69cac7e6b4b245b2c38f9112,2000,Millennials,Female,France,Western Europe,Small city,Temperate climate,Student,University education,Yes,Couple without children,Homeowner with mortgage,Left
PROLIFIC_69f4823b807f06208c1f8ff8,1973,Generation X,Female,Italy,Southern Europe,Small town,Warm/Mediterranean climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Far left
PROLIFIC_67458e548861194752950b3e,2003,Generation Z,Male,Latvia,Northern Europe,Large city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Right
PROLIFIC_69c6a6aade93df9f06f725a2,1969,Boomers + Silent Generation,Female,France,Western Europe,Large city,Temperate climate,Unemployed,University education,Yes,Household with children,Homeowner with mortgage,Left
PROLIFIC_69f3101cd619e2288f7cffa7,2002,Generation Z,Female,Italy,Southern Europe,Metropolis,Warm/Mediterranean climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_5e92267dcc3d6c553eb8c817,2001,Generation Z,Male,Poland,Eastern Europe,Small city,Temperate climate,Employed,Non-university education,Yes,Household with children,NA,NA
PROLIFIC_6a229b5352a32f629034f221,1992,Millennials,Male,Slovenia,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_6a23e0de47bc759d7dfabea7,2003,Generation Z,Female,Belgium,Western Europe,Small city,Temperate climate,Student,University education,Yes,Household with children,Other tenure status,NA
PROLIFIC_6a21ea8132a0738c3116b9e0,1998,Millennials,Female,Italy,Southern Europe,Small city,Warm/Mediterranean climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_6932b69b5d8649b7a1021ff0,2004,Generation Z,Male,Slovakia,Eastern Europe,Town,Temperate climate,Student,Non-university education,No,Household with children,Homeowner without mortgage,Centre
PROLIFIC_697f4f0f25cc7707716e04f5,2004,Generation Z,Male,France,Western Europe,Large city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
PROLIFIC_69d801b7ff73fd8726f49404,1989,Millennials,Female,Germany,Western Europe,Large city,Temperate climate,Unemployed,University education,No,Couple without children,Rented home,Far left
PROLIFIC_6928b5026c84fcd91c5a7a68,1988,Millennials,Female,France,Western Europe,Metropolis,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner with mortgage,Right
PROLIFIC_6a00ddf17a4ca511079ba36,2005,Generation Z,Female,Italy,Southern Europe,Large city,Warm/Mediterranean climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Centre
PROLIFIC_6a22f1c96d813b77a267cc7d,1999,Millennials,Male,Italy,Southern Europe,Large city,Temperate climate,Student,University education,Yes,Living alone,Other tenure status,NA
PROLIFIC_6a0d86760c5c5b905946bc00,1968,Boomers + Silent Generation,Female,Italy,Southern Europe,Large city,Temperate climate,Unemployed,University education,No,Household with children,Rented home,Far left
PROLIFIC_646219bb0b91a6f3327e39fb,1991,Millennials,Female,Germany,Western Europe,Metropolis,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_6a0631964347cec04dfa71d1,1994,Millennials,Female,Poland,Eastern Europe,Small town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Right
PROLIFIC_6a064be60a1feb17a9dfe824,1977,Generation X,Female,United Kingdom,Northern Europe,Small city,Temperate climate,Employed,Non-university education,No,Couple without children,Rented home,Centre
PROLIFIC_66cc80d93247b5e14b3b7112,1995,Millennials,Female,Italy,Southern Europe,Town,Warm/Mediterranean climate,Student,University education,Yes,Household with children,Homeowner with mortgage,Far left
PROLIFIC_6980bdf135e5d99f4cd191e6,1992,Millennials,Female,Romania,Eastern Europe,Small city,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Centre
PROLIFIC_602fe67919eaccd752eea5a5,1999,Millennials,Female,Portugal,Southern Europe,Medium-sized city,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner with mortgage,Left
PROLIFIC_6a10442ceffde6b06d1cef3d,1996,Millennials,Female,United Kingdom,Northern Europe,Small city,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Right
PROLIFIC_6470e501cc85b0287c8da951,1999,Millennials,Female,France,Western Europe,Metropolis,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Centre
PROLIFIC_6985f197cf1559ac62ea5dc3,1995,Millennials,Male,France,Western Europe,Town,Temperate climate,Employed,University education,Yes,Shared household,Rented home,Centre
PROLIFIC_6a00c9657d955585296f7301,2006,Generation Z,Male,France,Western Europe,Small town,Temperate climate,Student,Non-university education,Yes,Couple without children,Homeowner without mortgage,Right
PROLIFIC_5c66cc9246bfc200019044b8,1989,Millennials,NA,Hungary,Eastern Europe,Small town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Right
PROLIFIC_5e86e0a50a340d32316afe9d,1986,Millennials,Female,Latvia,Northern Europe,Large city,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Centre
PROLIFIC_69d7f5e13c624f3ce83d2cfb,1994,Millennials,Male,Germany,Western Europe,Town,Cold/Polar climate,Employed,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_6a0d9e9144c2414b7e6adeda,2001,Generation Z,Female,Germany,Western Europe,Small city,Temperate climate,Employed,University education,No,Shared household,Rented home,Centre
PROLIFIC_6111037143ad4a71cf9e2852,1999,Millennials,Female,Hungary,Eastern Europe,Metropolis,Temperate climate,Unemployed,University education,No,Couple without children,Rented home,Far left
PROLIFIC_6a25a6b9390e0020e7ef226e,2007,Generation Z,Female,Poland,Eastern Europe,Town,Temperate climate,Employed,Non-university education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_69fb35cf0deb774f95e2f6cb,1989,Millennials,Female,France,Western Europe,Metropolis,Temperate climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Centre
PROLIFIC_69fc88ab52f8fd41bd554aee,1965,Boomers + Silent Generation,Female,United Kingdom,Northern Europe,Village or rural area,Temperate climate,Employed,University education,Yes,Living alone,Homeowner with mortgage,Left
PROLIFIC_69f9f16dd6f231903e2a6b41,1997,Millennials,Female,Germany,Western Europe,Metropolis,Temperate climate,Unemployed,University education,No,Couple without children,Rented home,Centre
PROLIFIC_6a229a63b2044a3b6694cdf5,1982,Generation X,Female,Romania,Eastern Europe,Small city,Temperate climate,Employed,Non-university education,Yes,Couple without children,Homeowner without mortgage,Left
PROLIFIC_69de0876fb4170e1b31c0f7b,1985,Generation X,Male,Germany,Western Europe,Small city,Temperate climate,Employed,Non-university education,Yes,Household with children,Rented home,Left
PROLIFIC_6a07318351b163db6f9887f1,1984,Generation X,Female,Italy,Southern Europe,Small town,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Centre
PROLIFIC_69d023c8f299f5b1cc355e64,1988,Millennials,Female,Germany,Western Europe,Small city,Temperate climate,Employed,University education,No,Shared household,Rented home,Centre
PROLIFIC_698359ee7148b5a9731164bb,1994,Millennials,Male,Romania,Eastern Europe,Medium-sized city,Temperate climate,Employed,University education,No,Couple without children,Rented home,Centre
PROLIFIC_66316420ced02e8c467d22a2,1997,Millennials,Male,Denmark,Northern Europe,Medium-sized city,Temperate climate,Employed,Non-university education,Yes,Couple without children,Rented home,Left
PROLIFIC_698e260e1c956e03673d79ab,1992,Millennials,Female,Sweden,Northern Europe,Small city,Temperate climate,Student,University education,Yes,Couple without children,Rented home,Centre
PROLIFIC_6654840c725f74f1b0a206f9,2002,Generation Z,Female,Estonia,Northern Europe,Small city,Temperate climate,Student,Non-university education,Yes,Living alone,Rented home,Left
PROLIFIC_69d671f03dd875c20e4c0ce0,1993,Millennials,Female,Germany,Western Europe,Metropolis,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_60456799ca80066961f3fa3c,1998,Millennials,Female,Portugal,Southern Europe,Large city,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_69e7b977a16a3c9a2b839a87,1995,Millennials,Male,Italy,Southern Europe,Small city,Warm/Mediterranean climate,Employed,Non-university education,Yes,Living alone,Homeowner without mortgage,Centre
PROLIFIC_62ead0772116e6bc70b7cd09,1971,Generation X,Female,United Kingdom,Northern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Centre
PROLIFIC_6a0f3e08be88e41f0e239e45,2006,Generation Z,Female,Italy,Southern Europe,Large city,Warm/Mediterranean climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Right
PROLIFIC_6984b719db2917412dfc3135,1988,Millennials,Male,Germany,Western Europe,Town,Temperate climate,Employed,Non-university education,Yes,Living alone,Rented home,Far left
PROLIFIC_6167579b785195f0db610d94,2002,Generation Z,Female,Latvia,Northern Europe,Large city,Temperate climate,Employed,University education,Yes,Living alone,Other tenure status,Far left
PROLIFIC_667971a555af1f83d3f29ae7,1994,Millennials,Male,Poland,Eastern Europe,Metropolis,Temperate climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Centre
PROLIFIC_6a0d70f4edf77457443338ce,1988,Millennials,Male,United Kingdom,Northern Europe,Large city,Temperate climate,Employed,University education,Yes,Household with children,Rented home,Right
PROLIFIC_697a77ec6ca000317de70f17,2000,Millennials,Female,France,Western Europe,Small town,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Left
PROLIFIC_64a814776d0d667482bcf926,2001,Generation Z,Female,Slovenia,Southern Europe,Small city,Temperate climate,Student,University education,Yes,Household with children,Homeowner without mortgage,Right
PROLIFIC_5cf510ccb0bafb00161ffd56,1998,Millennials,Female,United Kingdom,Northern Europe,Medium-sized city,Temperate climate,Employed,Non-university education,No,Household with children,Rented home,Left
PROLIFIC_6932bf332627def0f1f8a46b,1985,Generation X,Female,Hungary,Eastern Europe,Metropolis,Temperate climate,Employed,University education,Yes,NA,Homeowner without mortgage,Centre
PROLIFIC_6646044a0b635b10c98237fb,1993,Millennials,Female,Poland,Eastern Europe,Small city,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Far left
PROLIFIC_5b3f242f9c2ec600014ef9fc,1980,Generation X,Female,Italy,Southern Europe,Town,Warm/Mediterranean climate,Employed,Non-university education,Yes,Living alone,Other tenure status,Left
PROLIFIC_697cae93b9bd8250922a71ce,1988,Millennials,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Left
PROLIFIC_6a0202e1fdb933b3a6bc8fe9,2002,Generation Z,Female,France,Western Europe,Large city,Warm/Mediterranean climate,Student,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_6a2055cd337ccac293eb2ef8,1998,Millennials,Male,United Kingdom,Northern Europe,Town,Temperate climate,Employed,Non-university education,No,Shared household,Rented home,NA
PROLIFIC_6a01a5353d69fb639148aa20,1990,Millennials,Male,Italy,Southern Europe,Small town,Warm/Mediterranean climate,Employed,Non-university education,Yes,Living alone,Rented home,Right
PROLIFIC_696c724484bccbd980cd0e88,2004,Generation Z,Male,Poland,Eastern Europe,Small city,Temperate climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Left
PROLIFIC_63ed0392b8b24c34aaf26310,1979,Generation X,Female,United Kingdom,Northern Europe,Large city,Temperate climate,Employed,Non-university education,Yes,Household with children,Rented home,Centre
PROLIFIC_6a01f97615e1e34226c0c6de,2002,Generation Z,Female,Italy,Southern Europe,Small city,Warm/Mediterranean climate,Unemployed,University education,Yes,Household with children,Homeowner with mortgage,Left
PROLIFIC_60827e52a046c9b82574d391,1993,Millennials,Male,France,Western Europe,Small town,Warm/Mediterranean climate,Employed,University education,Yes,Living alone,Rented home,Centre
PROLIFIC_5e8f740429529124dfc3e7a5,2000,Millennials,Male,Poland,Eastern Europe,Medium-sized city,Temperate climate,Student,University education,Yes,Household with children,Homeowner without mortgage,Right
PROLIFIC_6a0252dc959d360ed8448c2f,2000,Millennials,Female,United Kingdom,Northern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Far left
PROLIFIC_6a115c6b3c86f8c79ae47f0d,1997,Millennials,Male,United Kingdom,Northern Europe,Medium-sized city,Cold/Polar climate,Employed,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_5d24b3cfa433c000166f91bf,1996,Millennials,Male,Germany,Western Europe,Village or rural area,Temperate climate,Employed,University education,Yes,Household with children,Homeowner without mortgage,Centre
PROLIFIC_69a5621021a584cfa45f5f38,1992,Millennials,Female,Portugal,Southern Europe,Village or rural area,Warm/Mediterranean climate,Employed,University education,No,Household with children,Homeowner without mortgage,Left
PROLIFIC_5e4f73d0ca55663b5b9d18b0,1980,Generation X,Female,France,Western Europe,Town,Warm/Mediterranean climate,Employed,University education,Yes,Living alone,Rented home,Centre
PROLIFIC_6a081474f37bbaf455c26332,1997,Millennials,Male,Germany,Western Europe,Small city,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Right
PROLIFIC_698257587a4d2edcdc29a350,1995,Millennials,Female,Germany,Western Europe,Town,Cold/Polar climate,Employed,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_5cd53d40aeb4100001c18aa8,1986,Millennials,Female,Italy,Southern Europe,Town,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_6a211e87adf7c98358c1602b,2004,Generation Z,Male,France,Western Europe,Large city,Warm/Mediterranean climate,Unemployed,Non-university education,No,Household with children,Homeowner without mortgage,Far left
PROLIFIC_6a05cedc9a4299116a07fc59,2004,Generation Z,Female,Poland,Eastern Europe,Large city,Temperate climate,Student,Non-university education,No,Living alone,Homeowner without mortgage,Far left
PROLIFIC_5e35394d2149184e1a3d0450,1996,Millennials,Female,United Kingdom,Northern Europe,Town,Temperate climate,Employed,Non-university education,Yes,Couple without children,Homeowner with mortgage,Far left
PROLIFIC_6a23a4399395a8963b79587f,1989,Millennials,Male,Italy,Southern Europe,Small city,Warm/Mediterranean climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Centre
PROLIFIC_698df4a194fabefa716596ec,2007,Generation Z,Male,Poland,Eastern Europe,Metropolis,Temperate climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Centre
PROLIFIC_6a134c7b06246f028cc08800,2001,Generation Z,Female,Germany,Western Europe,Medium-sized city,Temperate climate,Student,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_69307ef5fe254a61dee79a78,1990,Millennials,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Left
PROLIFIC_69d8d2f724abed404eb4935d,2000,Millennials,Female,France,Western Europe,Large city,Temperate climate,Unemployed,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_6034e1952ed073efce57a8a7,1994,Millennials,Male,Greece,Southern Europe,Metropolis,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Left
PROLIFIC_5f4d6c27b03547a378fcb44a,1995,Millennials,Female,Greece,Southern Europe,Metropolis,Warm/Mediterranean climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,Centre
PROLIFIC_5f2af36061a10a452cd8dc4e,1998,Millennials,Female,United Kingdom,Northern Europe,Large city,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner without mortgage,Far left
PROLIFIC_6119075f1fe00f92c8153747,1996,Millennials,Female,Estonia,Northern Europe,Town,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Far left
PROLIFIC_6a021400594777c9049633a4,1988,Millennials,Female,United Kingdom,Northern Europe,Village or rural area,Temperate climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Far left
PROLIFIC_69946a0579d779ee49dca2c5,1989,Millennials,Female,France,Western Europe,Town,Temperate climate,Employed,University education,Yes,Other household type,Other tenure status,Far left
PROLIFIC_64e91e9b7ac897d0afa22985,2000,Millennials,Male,United Kingdom,Northern Europe,Town,Temperate climate,Unemployed,University education,No,Couple without children,Rented home,Centre
PROLIFIC_69fc62a553e31d1f955c7d1e,1991,Millennials,Male,Poland,Eastern Europe,Large city,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Left
PROLIFIC_6978bbc0ecc89bfa720fac28,2006,Generation Z,Female,Italy,Southern Europe,Town,Temperate climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Centre
PROLIFIC_698df153dc723dada19b1dab,2002,Generation Z,Female,Poland,Eastern Europe,Town,Temperate climate,Employed,Non-university education,No,Living alone,Rented home,Centre
PROLIFIC_6a1f136140310048eef382ce,1984,Generation X,Female,Germany,Western Europe,Small town,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner with mortgage,Centre
PROLIFIC_5a2310ebdf5bd00001b37474,1984,Generation X,Female,Poland,Eastern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Household with children,Rented home,Centre
PROLIFIC_699b5130e75520d8cda5a642,1993,Millennials,Female,Romania,Eastern Europe,Large city,Temperate climate,Employed,University education,Yes,Couple without children,Homeowner without mortgage,NA
