participant_id,year_of_birth,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation
PROLIFIC_6a229a11e392c08625a712bd,1988,Millennials,Female,Bulgaria,Eastern Europe,Large city,Warm/Mediterranean climate,Employed,University education,No,Other household type,Homeowner without mortgage,Centre
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Millennials,Female,Lithuania,Northern Europe,Metropolis,Temperate climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Centre
PROLIFIC_69249f2bf89992510c44179e,NA,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Millennials,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,University education,No,Shared household,Rented home,Far left
PROLIFIC_6a229bc24afaa132a0944070,1989,Millennials,Female,Bulgaria,Eastern Europe,Metropolis,Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Right
PROLIFIC_5f2dcc4c7989510ff7699cab,1995,Millennials,Female,Denmark,Northern Europe,Large city,Temperate climate,Student,University education,Yes,Couple without children,Rented home,Left
PROLIFIC_661581f5ba8868414baed7ca,2004,Generation Z,Female,Slovakia,Eastern Europe,Small town,Temperate climate,Employed,Non-university education,Yes,Household with children,Homeowner without mortgage,Far left
PROLIFIC_5aeb24e22bd17300018779f2,1994,Millennials,Female,Estonia,Northern Europe,Medium-sized city,Temperate climate,Employed,University education,Yes,Living alone,Rented home,Far left
PROLIFIC_6597f6dc6f784e1f69bfadfa,2004,Generation Z,Female,Slovakia,Eastern Europe,Town,Temperate climate,Employed,Non-university education,No,Household with children,Homeowner without mortgage,Far left
PROLIFIC_698b10e112e204e2d1f0c126,1992,Millennials,Female,Finland,Northern Europe,Medium-sized city,Cold/Polar climate,Student,University education,Yes,Living alone,Rented home,NA
PROLIFIC_6a22e126f41c2f91aaf90b28,2006,Generation Z,Female,Slovakia,Eastern Europe,Small city,Temperate climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Far left
PROLIFIC_697b4452d0057be21360d8d6,1986,Millennials,Female,Sweden,Northern Europe,Metropolis,Cold/Polar climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Centre
PROLIFIC_604dedd2805fe682c5bc51c0,1984,Generation X,Female,Hungary,Eastern Europe,Metropolis,Temperate climate,Employed,University education,Yes,Couple without children,Rented home,Right
PROLIFIC_5d1f54b95538e6001a843293,1983,Generation X,Female,Belgium,Western Europe,Small city,Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left
PROLIFIC_69a6fd75a40ab271c0a54fd7,1983,Generation X,Female,Romania,Eastern Europe,Small city,Temperate climate,Employed,University education,Yes,Shared household,Rented home,Far left
PROLIFIC_69932173fe3deef35c4f7e70,1990,Millennials,Female,Luxembourg,Western Europe,Small city,Temperate climate,Employed,University education,Yes,Living alone,Homeowner without mortgage,Left
PROLIFIC_69edcc3c9f52558843ab7d99,2001,Generation Z,Female,Belgium,Western Europe,Village or rural area,Temperate climate,Employed,University education,No,Couple without children,Rented home,Right
PROLIFIC_6a229976e46891722ff3f05f,1997,Millennials,Female,Finland,Northern Europe,Medium-sized city,Cold/Polar climate,Unemployed,University education,Yes,Couple without children,Rented home,Far left
