group,experience_short,n,total_group,percentage
Eastern Europe,Already present,81,789,10.26615969581749
Eastern Europe,Implemented,105,789,13.307984790874524
Eastern Europe,Searched for information,131,789,16.603295310519645
Eastern Europe,Aware / would consider,246,789,31.1787072243346
Eastern Europe,Unaware,135,789,17.110266159695815
Eastern Europe,Would never use it,91,789,11.533586818757922
Northern Europe,Already present,100,766,13.054830287206268
Northern Europe,Implemented,117,766,15.274151436031334
Northern Europe,Searched for information,94,766,12.27154046997389
Northern Europe,Aware / would consider,200,766,26.109660574412537
Northern Europe,Unaware,144,766,18.79895561357702
Northern Europe,Would never use it,111,766,14.490861618798956
Southern Europe,Already present,377,3336,11.30095923261391
Southern Europe,Implemented,783,3336,23.471223021582734
Southern Europe,Searched for information,486,3336,14.568345323741008
Southern Europe,Aware / would consider,1032,3336,30.935251798561154
Southern Europe,Unaware,392,3336,11.750599520383693
Southern Europe,Would never use it,266,3336,7.973621103117506
Western Europe,Already present,117,1075,10.883720930232558
Western Europe,Implemented,167,1075,15.534883720930232
Western Europe,Searched for information,210,1075,19.53488372093023
Western Europe,Aware / would consider,282,1075,26.232558139534884
Western Europe,Unaware,177,1075,16.465116279069765
Western Europe,Would never use it,122,1075,11.348837209302326
