group,experience_short,n,total_group,percentage
Austria,Ya estaba presente,8,32,25
Austria,Implementada,3,32,9.375
Austria,Buscó información,5,32,15.625
Austria,La conoce / la consideraría,5,32,15.625
Austria,No la conoce,6,32,18.75
Austria,Nunca la usaría,5,32,15.625
Belgium,Ya estaba presente,14,107,13.084112149532709
Belgium,Implementada,13,107,12.149532710280374
Belgium,Buscó información,15,107,14.018691588785046
Belgium,La conoce / la consideraría,21,107,19.626168224299064
Belgium,No la conoce,38,107,35.51401869158878
Belgium,Nunca la usaría,6,107,5.607476635514018
Bulgaria,Ya estaba presente,3,46,6.521739130434782
Bulgaria,Implementada,4,46,8.695652173913043
Bulgaria,Buscó información,9,46,19.565217391304348
Bulgaria,La conoce / la consideraría,18,46,39.130434782608695
Bulgaria,No la conoce,10,46,21.73913043478261
Bulgaria,Nunca la usaría,2,46,4.3478260869565215
Czech Republic,Ya estaba presente,14,80,17.5
Czech Republic,Implementada,5,80,6.25
Czech Republic,Buscó información,11,80,13.750000000000002
Czech Republic,La conoce / la consideraría,19,80,23.75
Czech Republic,No la conoce,23,80,28.749999999999996
Czech Republic,Nunca la usaría,8,80,10
Denmark,Ya estaba presente,6,63,9.523809523809524
Denmark,Implementada,11,63,17.46031746031746
Denmark,Buscó información,8,63,12.698412698412698
Denmark,La conoce / la consideraría,20,63,31.746031746031743
Denmark,No la conoce,7,63,11.11111111111111
Denmark,Nunca la usaría,11,63,17.46031746031746
Estonia,Ya estaba presente,10,63,15.873015873015872
Estonia,Implementada,8,63,12.698412698412698
Estonia,Buscó información,7,63,11.11111111111111
Estonia,La conoce / la consideraría,20,63,31.746031746031743
Estonia,No la conoce,12,63,19.047619047619047
Estonia,Nunca la usaría,6,63,9.523809523809524
Finland,Ya estaba presente,8,64,12.5
Finland,Implementada,6,64,9.375
Finland,Buscó información,11,64,17.1875
Finland,La conoce / la consideraría,24,64,37.5
Finland,No la conoce,8,64,12.5
Finland,Nunca la usaría,7,64,10.9375
France,Ya estaba presente,44,395,11.139240506329113
France,Implementada,54,395,13.670886075949367
France,Buscó información,63,395,15.949367088607595
France,La conoce / la consideraría,116,395,29.367088607594937
France,No la conoce,64,395,16.20253164556962
France,Nunca la usaría,54,395,13.670886075949367
Germany,Ya estaba presente,36,361,9.97229916897507
Germany,Implementada,51,361,14.127423822714682
Germany,Buscó información,88,361,24.37673130193906
Germany,La conoce / la consideraría,101,361,27.977839335180054
Germany,No la conoce,58,361,16.06648199445983
Germany,Nunca la usaría,27,361,7.479224376731302
Greece,Ya estaba presente,11,78,14.102564102564102
Greece,Implementada,18,78,23.076923076923077
Greece,Buscó información,8,78,10.256410256410255
Greece,La conoce / la consideraría,19,78,24.358974358974358
Greece,No la conoce,10,78,12.82051282051282
Greece,Nunca la usaría,12,78,15.384615384615385
Hungary,Ya estaba presente,3,63,4.761904761904762
Hungary,Implementada,9,63,14.285714285714285
Hungary,Buscó información,11,63,17.46031746031746
Hungary,La conoce / la consideraría,32,63,50.79365079365079
Hungary,No la conoce,5,63,7.936507936507936
Hungary,Nunca la usaría,3,63,4.761904761904762
Ireland,Ya estaba presente,1,22,4.545454545454546
Ireland,Implementada,8,22,36.36363636363637
Ireland,Buscó información,8,22,36.36363636363637
Ireland,La conoce / la consideraría,0,22,0
Ireland,No la conoce,1,22,4.545454545454546
Ireland,Nunca la usaría,4,22,18.181818181818183
Italy,Ya estaba presente,51,425,12
Italy,Implementada,81,425,19.058823529411764
Italy,Buscó información,81,425,19.058823529411764
Italy,La conoce / la consideraría,122,425,28.705882352941174
Italy,No la conoce,56,425,13.176470588235295
Italy,Nunca la usaría,34,425,8
Latvia,Ya estaba presente,8,64,12.5
Latvia,Implementada,11,64,17.1875
Latvia,Buscó información,9,64,14.0625
Latvia,La conoce / la consideraría,14,64,21.875
Latvia,No la conoce,17,64,26.5625
Latvia,Nunca la usaría,5,64,7.8125
Lithuania,Ya estaba presente,3,16,18.75
Lithuania,Implementada,8,16,50
Lithuania,Buscó información,0,16,0
Lithuania,La conoce / la consideraría,2,16,12.5
Lithuania,No la conoce,0,16,0
Lithuania,Nunca la usaría,3,16,18.75
Luxembourg,Ya estaba presente,0,14,0
Luxembourg,Implementada,2,14,14.285714285714285
Luxembourg,Buscó información,4,14,28.57142857142857
Luxembourg,La conoce / la consideraría,8,14,57.14285714285714
Luxembourg,No la conoce,0,14,0
Luxembourg,Nunca la usaría,0,14,0
Netherlands,Ya estaba presente,15,166,9.036144578313253
Netherlands,Implementada,44,166,26.506024096385545
Netherlands,Buscó información,35,166,21.084337349397593
Netherlands,La conoce / la consideraría,31,166,18.67469879518072
Netherlands,No la conoce,11,166,6.626506024096386
Netherlands,Nunca la usaría,30,166,18.072289156626507
Norway,Ya estaba presente,1,32,3.125
Norway,Implementada,8,32,25
Norway,Buscó información,2,32,6.25
Norway,La conoce / la consideraría,7,32,21.875
Norway,No la conoce,12,32,37.5
Norway,Nunca la usaría,2,32,6.25
Poland,Ya estaba presente,42,412,10.194174757281553
Poland,Implementada,57,412,13.834951456310678
Poland,Buscó información,59,412,14.320388349514563
Poland,La conoce / la consideraría,135,412,32.76699029126214
Poland,No la conoce,62,412,15.048543689320388
Poland,Nunca la usaría,57,412,13.834951456310678
Portugal,Ya estaba presente,5,64,7.8125
Portugal,Implementada,7,64,10.9375
Portugal,Buscó información,16,64,25
Portugal,La conoce / la consideraría,16,64,25
Portugal,No la conoce,16,64,25
Portugal,Nunca la usaría,4,64,6.25
Romania,Ya estaba presente,18,126,14.285714285714285
Romania,Implementada,18,126,14.285714285714285
Romania,Buscó información,36,126,28.57142857142857
Romania,La conoce / la consideraría,25,126,19.841269841269842
Romania,No la conoce,19,126,15.079365079365079
Romania,Nunca la usaría,10,126,7.936507936507936
Slovakia,Ya estaba presente,1,62,1.6129032258064515
Slovakia,Implementada,12,62,19.35483870967742
Slovakia,Buscó información,5,62,8.064516129032258
Slovakia,La conoce / la consideraría,17,62,27.419354838709676
Slovakia,No la conoce,16,62,25.806451612903224
Slovakia,Nunca la usaría,11,62,17.741935483870968
Slovenia,Ya estaba presente,8,63,12.698412698412698
Slovenia,Implementada,16,63,25.396825396825395
Slovenia,Buscó información,8,63,12.698412698412698
Slovenia,La conoce / la consideraría,18,63,28.57142857142857
Slovenia,No la conoce,8,63,12.698412698412698
Slovenia,Nunca la usaría,5,63,7.936507936507936
Spain,Ya estaba presente,302,2706,11.160384331116038
Spain,Implementada,661,2706,24.42719881744272
Spain,Buscó información,373,2706,13.78418329637842
Spain,La conoce / la consideraría,857,2706,31.670362158167038
Spain,No la conoce,302,2706,11.160384331116038
Spain,Nunca la usaría,211,2706,7.797487065779748
Sweden,Ya estaba presente,4,48,8.333333333333332
Sweden,Implementada,8,48,16.666666666666664
Sweden,Buscó información,10,48,20.833333333333336
Sweden,La conoce / la consideraría,7,48,14.583333333333334
Sweden,No la conoce,16,48,33.33333333333333
Sweden,Nunca la usaría,3,48,6.25
United Kingdom,Ya estaba presente,59,394,14.974619289340103
United Kingdom,Implementada,49,394,12.436548223350254
United Kingdom,Buscó información,39,394,9.898477157360407
United Kingdom,La conoce / la consideraría,106,394,26.903553299492383
United Kingdom,No la conoce,71,394,18.02030456852792
United Kingdom,Nunca la usaría,70,394,17.766497461928935
