technology,experience_short,n,total_technology,percentage
Agua caliente sanitaria,Ya estaba presente,165,375,44
Agua caliente sanitaria,Implementada,97,375,25.866666666666667
Agua caliente sanitaria,Buscó información,32,375,8.533333333333333
Agua caliente sanitaria,La conoce / la consideraría,51,375,13.600000000000001
Agua caliente sanitaria,No la conoce,21,375,5.6000000000000005
Agua caliente sanitaria,Nunca la usaría,9,375,2.4
Almacenamiento energético,Ya estaba presente,11,385,2.857142857142857
Almacenamiento energético,Implementada,29,385,7.532467532467532
Almacenamiento energético,Buscó información,77,385,20
Almacenamiento energético,La conoce / la consideraría,179,385,46.493506493506494
Almacenamiento energético,No la conoce,68,385,17.662337662337663
Almacenamiento energético,Nunca la usaría,21,385,5.454545454545454
Ascensor,Ya estaba presente,146,376,38.82978723404255
Ascensor,Implementada,21,376,5.585106382978723
Ascensor,Buscó información,17,376,4.521276595744681
Ascensor,La conoce / la consideraría,66,376,17.5531914893617
Ascensor,No la conoce,9,376,2.393617021276596
Ascensor,Nunca la usaría,117,376,31.117021276595747
Bomba de calor,Ya estaba presente,24,366,6.557377049180328
Bomba de calor,Implementada,45,366,12.295081967213115
Bomba de calor,Buscó información,53,366,14.48087431693989
Bomba de calor,La conoce / la consideraría,127,366,34.69945355191257
Bomba de calor,No la conoce,89,366,24.316939890710383
Bomba de calor,Nunca la usaría,28,366,7.650273224043716
Calefacción fósil o biomasa,Ya estaba presente,74,374,19.786096256684495
Calefacción fósil o biomasa,Implementada,37,374,9.893048128342247
Calefacción fósil o biomasa,Buscó información,38,374,10.16042780748663
Calefacción fósil o biomasa,La conoce / la consideraría,61,374,16.31016042780749
Calefacción fósil o biomasa,No la conoce,63,374,16.844919786096256
Calefacción fósil o biomasa,Nunca la usaría,101,374,27.00534759358289
Cambio de tarifa eléctrica,Ya estaba presente,19,385,4.935064935064935
Cambio de tarifa eléctrica,Implementada,137,385,35.58441558441559
Cambio de tarifa eléctrica,Buscó información,82,385,21.298701298701296
Cambio de tarifa eléctrica,La conoce / la consideraría,84,385,21.818181818181817
Cambio de tarifa eléctrica,No la conoce,54,385,14.025974025974024
Cambio de tarifa eléctrica,Nunca la usaría,9,385,2.3376623376623376
Comunidad energética,Ya estaba presente,18,368,4.891304347826087
