experience_short,n,percentage
La conoce / la consideraría,1790,29.533080349777265
Implementada,1192,19.6667216630919
Buscó información,928,15.311004784688995
No la conoce,856,14.12308199967002
Ya estaba presente,685,11.30176538524996
Nunca la usaría,610,10.064345817521861
