technology,renovation_age_clean,n,total_technology,percentage,label
Agua caliente sanitaria,Hace menos de 5 años,62,257,24.124513618677042,"24%
(n=62)"
Agua caliente sanitaria,Hace 5-15 años,77,257,29.961089494163424,"30%
(n=77)"
Agua caliente sanitaria,Hace 15-25 años,59,257,22.957198443579767,"23%
(n=59)"
Agua caliente sanitaria,Hace más de 25 años / nunca actualizada,38,257,14.785992217898833,"15%
(n=38)"
Agua caliente sanitaria,No lo sé,21,257,8.171206225680933,"8%
(n=21)"
Almacenamiento energético,Hace menos de 5 años,22,38,57.89473684210527,"58%
(n=22)"
Almacenamiento energético,Hace 5-15 años,4,38,10.526315789473683,"11%
(n=4)"
Almacenamiento energético,Hace 15-25 años,2,38,5.263157894736842,"5%
(n=2)"
Almacenamiento energético,Hace más de 25 años / nunca actualizada,3,38,7.894736842105263,"8%
(n=3)"
Almacenamiento energético,No lo sé,7,38,18.421052631578945,"18%
(n=7)"
Ascensor,Hace menos de 5 años,15,160,9.375,"9%
(n=15)"
Ascensor,Hace 5-15 años,30,160,18.75,"19%
(n=30)"
Ascensor,Hace 15-25 años,41,160,25.624999999999996,"26%
(n=41)"
Ascensor,Hace más de 25 años / nunca actualizada,57,160,35.625,"36%
(n=57)"
Ascensor,No lo sé,17,160,10.625,"11%
(n=17)"
Bomba de calor,Hace menos de 5 años,36,68,52.94117647058824,"53%
(n=36)"
Bomba de calor,Hace 5-15 años,10,68,14.705882352941178,"15%
(n=10)"
Bomba de calor,Hace 15-25 años,10,68,14.705882352941178,"15%
(n=10)"
Bomba de calor,Hace más de 25 años / nunca actualizada,6,68,8.823529411764707,"9%
(n=6)"
Bomba de calor,No lo sé,6,68,8.823529411764707,"9%
(n=6)"
Calefacción fósil o biomasa,Hace menos de 5 años,18,98,18.367346938775512,"18%
(n=18)"
Calefacción fósil o biomasa,Hace 5-15 años,22,98,22.448979591836736,"22%
(n=22)"
Calefacción fósil o biomasa,Hace 15-25 años,26,98,26.53061224489796,"27%
(n=26)"
Calefacción fósil o biomasa,Hace más de 25 años / nunca actualizada,20,98,20.408163265306122,"20%
(n=20)"
Calefacción fósil o biomasa,No lo sé,12,98,12.244897959183673,"12%
(n=12)"
Cambio de tarifa eléctrica,Hace menos de 5 años,84,146,57.534246575342465,"58%
(n=84)"
Cambio de tarifa eléctrica,Hace 5-15 años,43,146,29.45205479452055,"29%
(n=43)"
