experience_short,n,percentage
Aware / would consider,1790,29.533080349777265
Implemented,1192,19.6667216630919
Searched for information,928,15.311004784688995
Unaware,856,14.12308199967002
Already present,685,11.30176538524996
Would never use it,610,10.064345817521861
