group,experience_short,n,total_group,percentage
Non-university education,Already present,145,1411,10.276399716513112
Non-university education,Implemented,288,1411,20.41105598866052
Non-university education,Searched for information,213,1411,15.095676824946846
Non-university education,Aware / would consider,397,1411,28.13607370659107
Non-university education,Unaware,216,1411,15.308291991495393
Non-university education,Would never use it,152,1411,10.772501771793054
University education,Already present,522,4479,11.654387139986603
University education,Implemented,867,4479,19.356999330207636
University education,Searched for information,651,4479,14.534494306764904
University education,Aware / would consider,1377,4479,30.74346952444742
University education,Unaware,619,4479,13.82004911810672
University education,Would never use it,443,4479,9.890600580486716
