experience_clean,n
I am aware of this and could consider it in the future,1790
I have installed / implemented / am currently doing this myself,1192
I have already actively looked for information about it,928
"I am unaware of this technology, decision, or behaviour",856
Already present when I moved in,685
I would never apply / use it,610
