"cluster","n_active_dets","active_determinants"
"cluster_1",5,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_2",8,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; RELATEDNESS; STIMULATION; POPULARITY; MEANING"
"cluster_3",0,""
