"K","archetypes_used"
1,"Uninterested"
2,"Uninterested | Homo.Economicus"
3,"Uninterested | Homo.Economicus | Influencer"
4,"Uninterested | Homo.Economicus | Influencer | Careful"
5,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter"
6,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful"
7,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
