analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
LATAM,matrix_32_ext_0_1,3,det_09_safety,0.5620747445294516,0.07953017284696898,0.5760153094635444,10.54,1,1,0.95
LATAM,matrix_32_ext_0_1,3,det_29_trends,0.5493698847177652,0.04364920099299103,0.5492355695012281,11,1,1,1
LATAM,matrix_32_ext_0_1,3,det_22_peer_pressure,0.5358448048376367,0.04433066179629645,0.5356619612993108,11.96,1,1,1
LATAM,matrix_32_ext_0_1,3,det_16_commitment,0.504053075074289,0.0881706181473685,0.5097709457764348,14.23,1,1,0.85
LATAM,matrix_32_ext_0_1,3,det_10_cost_efficiency,0.48265860912453323,0.09968820068636751,0.5035423836078822,16.01,1,0.97,0.75
LATAM,matrix_32_ext_0_1,3,det_12_own_competence,0.4812763001121847,0.08735245969526001,0.4710789779100304,15.92,1,1,0.83
LATAM,matrix_32_ext_0_1,3,det_01_profits,0.4803934112206635,0.08121996498356861,0.49133337094384555,16.16,1,0.99,0.82
LATAM,matrix_32_ext_0_1,3,det_18_autonomy,0.4605567977692333,0.08173627629201247,0.46762716805115667,17.32,1,0.98,0.77
LATAM,matrix_32_ext_0_1,3,det_14_environmental_concerns,0.44860523251590984,0.11954307962944874,0.4453552110697031,18.44,0.99,0.9,0.58
LATAM,matrix_32_ext_0_1,3,det_04_added_value,0.44370365003982754,0.08011898877474076,0.4433881737750571,18.67,1,0.97,0.71
LATAM,matrix_32_ext_0_1,3,det_03_risk_profile,0.4411929769930096,0.07254653590602085,0.4524039963210514,18.84,1,0.99,0.7
LATAM,matrix_32_ext_0_1,3,det_11_knowledge,0.4394745134251525,0.08022167923972301,0.43511251391732986,19.15,1,0.99,0.69
LATAM,matrix_32_ext_0_1,3,det_17_adherence,0.4289707187795535,0.05946808425548792,0.43413366388653224,19.66,1,1,0.67
LATAM,matrix_32_ext_0_1,3,det_13_technical_fit,0.4189198611365693,0.07660509394291735,0.4241532746374511,20.69,1,0.91,0.61
