"K","archetypes_used"
1,"Careful"
2,"Careful | Activist"
3,"Careful | Activist | Stubborn"
4,"Careful | Activist | Stubborn | Early Adopter"
5,"Careful | Activist | Stubborn | Early Adopter | Fearful"
6,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer"
7,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer | Homo Economicus"
8,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer | Homo Economicus | Uninterested"
