"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,1,0.000125
3,4,77,0.009625
4,29,498,0.06225
5,114,2178,0.27225
6,310,6056,0.757
7,645,13143,1.642875
8,1091,23404,2.9255
9,3831,343390,42.92375
10,4084,349501,43.687625
11,10085,679718,84.96475
12,10168,679988,84.9985
13,15308,787831,98.478875
14,15319,787847,98.480875
15,17528,798876,99.8595
16,17535,798887,99.860875
17,17984,799751,99.968875
18,17986,799753,99.969125
19,18032,799945,99.993125
20,18033,799946,99.99325
