"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,3,0.000375
3,32,6318,0.78975
4,64,7355,0.919375
5,604,190808,23.851
6,795,201506,25.18825
7,3618,559010,69.87625
8,4001,567139,70.892375
9,9666,762030,95.25375
10,9914,762769,95.346125
11,15074,794265,99.283125
12,15206,794535,99.316875
13,17323,798905,99.863125
14,17349,798942,99.86775
15,17878,799623,99.952875
16,17884,799634,99.95425
17,18017,799900,99.9875
18,18022,799947,99.993375
19,18044,799996,99.9995
20,18045,799997,99.999625
