"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",73156,0.91445
2,"Activist",5077,0.0634625
3,"Stubborn",1379,0.0172375
4,"Early Adopter",442,0.005525
5,"Fearful",264,0.0033
6,"Influencer",141,0.0017625
7,"Homo Economicus",32,4e-04
8,"Uninterested",0,0
