analysis_sample,determinant,sample_mean,sample_sd_original,sample_sd_used,sd_replaced
LATAM,det_01_profits,72.16971713810315,21.5682903375887,21.5682903375887,FALSE
LATAM,det_02_credit_score,76.7818181818182,20.678042870485665,20.678042870485665,FALSE
LATAM,det_03_risk_profile,70.35215946843853,19.706555333592906,19.706555333592906,FALSE
LATAM,det_04_added_value,58.03020134228187,22.517871758468246,22.517871758468246,FALSE
LATAM,det_05_frugality,59.398989898989896,24.50296603837598,24.50296603837598,FALSE
LATAM,det_06_climate_protection,61.606060606060595,23.154070740906548,23.154070740906548,FALSE
LATAM,det_07_legal,66.24080267558527,24.733870754568773,24.733870754568773,FALSE
LATAM,det_08_trust,69.54453781512606,21.890666866769585,21.890666866769585,FALSE
LATAM,det_09_safety,71.48414023372285,20.578489895396846,20.578489895396846,FALSE
LATAM,det_10_cost_efficiency,82.14119601328905,15.723536960256414,15.723536960256414,FALSE
LATAM,det_11_knowledge,75.91873963515756,21.28805048437863,21.28805048437863,FALSE
LATAM,det_12_own_competence,78.0299003322259,17.226177782328474,17.226177782328474,FALSE
LATAM,det_13_technical_fit,74.23499999999999,19.05645181015222,19.05645181015222,FALSE
LATAM,det_14_environmental_concerns,62.655518394648794,23.39562289192863,23.39562289192863,FALSE
LATAM,det_15_self_satisfaction,78.10264900662251,17.165067102291914,17.165067102291914,FALSE
LATAM,det_16_commitment,72.69282136894826,19.78316736326332,19.78316736326332,FALSE
LATAM,det_17_adherence,74.1980198019802,20.29005527788854,20.29005527788854,FALSE
LATAM,det_18_autonomy,70.13255033557047,19.67767700488009,19.67767700488009,FALSE
LATAM,det_19_wellbeing,73.18425460636516,20.31917020552532,20.31917020552532,FALSE
LATAM,det_20_coziness,66.19095477386934,21.922079487432775,21.922079487432775,FALSE
LATAM,det_21_rights_and_duties,71.24625623960067,21.390556875895008,21.390556875895008,FALSE
LATAM,det_22_peer_pressure,41.97495826377297,26.116558400733517,26.116558400733517,FALSE
LATAM,det_23_support,55.42570951585974,24.73384896055954,24.73384896055954,FALSE
LATAM,det_24_socialising,36.88372093023262,27.51716633975195,27.51716633975195,FALSE
LATAM,det_25_agreement,55.21926910299006,26.334437336201386,26.334437336201386,FALSE
LATAM,det_26_novelty,57.714524207011706,25.675560768981686,25.675560768981686,FALSE
LATAM,det_27_fun,47.87188019966723,27.09831282495198,27.09831282495198,FALSE
LATAM,det_28_recognition,37.011589403973474,29.17923450263031,29.17923450263031,FALSE
LATAM,det_29_trends,43.12978369384359,27.33690658163675,27.33690658163675,FALSE
LATAM,det_30_authority,42.383584589614784,27.90285037305755,27.90285037305755,FALSE
LATAM,det_31_approval,26.584589614740334,25.14251253590647,25.14251253590647,FALSE
LATAM,det_32_own_significance,62.893333333333345,22.941282868553355,22.941282868553355,FALSE
