analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
LATAM,2241,WHY_LATAM,LATAM,22,why__5b7850cef642ed0001517c4d,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b7850cef642ed0001517c4d,5b7850cef642ed0001517c4d,NA,CL,CL,latin_america,55_64,female,employed,usable_complete,TRUE,TRUE,32,100,100,100,100,0,75,100,100,100,100,100,100,100,100,100,100,100,50,20,20,100,0,50,0,0,50,15,0,0,75,0,15
LATAM,2242,WHY_LATAM,LATAM,23,why__5b7b8153db11320001c412e8,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b7b8153db11320001c412e8,5b7b8153db11320001c412e8,NA,MX,MX,latin_america,25_34,female,employed,usable_complete,TRUE,TRUE,32,100,77,42,39,51,12,55,66,53,85,61,65,39,14,66,62,59,41,64,58,100,0,50,0,0,0,66,0,29,35,0,45
LATAM,2243,WHY_LATAM,LATAM,24,why__5b7c3611b22fe60001df1efd,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b7c3611b22fe60001df1efd,5b7c3611b22fe60001df1efd,NA,MX,MX,latin_america,25_34,male,unknown,usable_complete,TRUE,TRUE,32,72,71,75,50,30,80,85,40,73,73,63,71,50,65,62,66,75,65,67,74,70,31,30,28,60,80,70,40,55,50,32,64
LATAM,2244,WHY_LATAM,LATAM,25,why__5b8c8e7d0c740e00019d55c3,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b8c8e7d0c740e00019d55c3,5b8c8e7d0c740e00019d55c3,NA,MX,MX,latin_america,35_44,male,unknown,usable_complete,TRUE,TRUE,32,100,75,90,86,75,55,20,80,91,93,75,80,79,34,84,66,66,99,99,83,43,8,23,0,51,77,74,0,8,38,0,83
LATAM,2245,WHY_LATAM,LATAM,26,why__5b8fe84a1a3ec10001a81642,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b8fe84a1a3ec10001a81642,5b8fe84a1a3ec10001a81642,NA,CL,CL,latin_america,18_24,male,other,usable_complete,TRUE,TRUE,32,90,90,80,15,75,20,30,65,40,100,100,100,70,15,70,65,70,55,55,29,70,15,0,30,35,25,10,20,0,35,0,20
LATAM,2246,WHY_LATAM,LATAM,27,why__5b9858a3fe82f50001caef03,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b9858a3fe82f50001caef03,5b9858a3fe82f50001caef03,NA,MX,MX,latin_america,25_34,male,unknown,usable_complete,TRUE,TRUE,32,81,89,61,47,84,52,48,68,78,81,84,70,58,61,61,57,76,73,71,58,60,53,64,55,71,61,58,35,55,42,30,45
LATAM,2247,WHY_LATAM,LATAM,28,why__5bb105d357281d0001ff257b,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5bb105d357281d0001ff257b,5bb105d357281d0001ff257b,NA,CL,CL,latin_america,18_24,male,employed,usable_complete,TRUE,TRUE,32,100,100,76,27,21,25,100,83,78,79,77,89,100,32,100,85,75,72,73,100,88,78,25,22,81,65,100,89,76,79,98,79
LATAM,2248,WHY_LATAM,LATAM,29,why__5bb511c6689fc5000149c703,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5bb511c6689fc5000149c703,5bb511c6689fc5000149c703,NA,MX,MX,latin_america,45_54,female,unknown,usable_complete,TRUE,TRUE,32,75,100,80,50,80,40,85,90,100,65,100,100,80,45,100,90,60,100,100,100,75,25,50,0,80,60,70,1,25,0,0,85
LATAM,2249,WHY_LATAM,LATAM,30,why__5bb635a5b734a20001f7a902,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5bb635a5b734a20001f7a902,5bb635a5b734a20001f7a902,NA,CL,CL,latin_america,18_24,male,inactive_other,usable_complete,TRUE,TRUE,32,100,85,100,60,75,20,50,100,35,100,75,75,90,25,90,65,90,75,60,55,70,80,15,50,65,70,70,65,65,35,55,35
LATAM,2250,WHY_LATAM,LATAM,31,why__5bbfeaeb785edb0001fac427,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5bbfeaeb785edb0001fac427,5bbfeaeb785edb0001fac427,NA,MX,MX,latin_america,25_34,male,employed,usable_complete,TRUE,TRUE,32,100,100,65,20,75,25,45,30,80,89,100,80,100,35,60,70,30,70,95,80,55,15,31,20,40,30,90,10,70,20,0,70
