analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
LATAM,2682,WHY_LATAM,LATAM,463,why__616c5184f5f58cc79f9bcf9b,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,616c5184f5f58cc79f9bcf9b,616c5184f5f58cc79f9bcf9b,NA,MX,MX,latin_america,18_24,female,unemployed,usable_complete,TRUE,TRUE,32,74,88,65,NA,65,NA,76,71,87,85,80,77,78,NA,69,76,78,67,85,81,85,NA,NA,NA,NA,73,NA,NA,NA,62,NA,NA
LATAM,2683,WHY_LATAM,LATAM,464,why__616de1e6f5e9e9a1febeb814,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,616de1e6f5e9e9a1febeb814,616de1e6f5e9e9a1febeb814,NA,MX,MX,latin_america,25_34,female,unknown,usable_complete,TRUE,TRUE,32,85,70,75,60,85,65,65,65,80,90,70,70,75,70,70,85,NA,60,80,60,90,NA,75,NA,70,NA,NA,55,55,60,NA,70
LATAM,2684,WHY_LATAM,LATAM,465,why__616f22b8e54926da850c38c9,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,616f22b8e54926da850c38c9,616f22b8e54926da850c38c9,NA,MX,MX,latin_america,35_44,female,employed,usable_complete,TRUE,TRUE,32,50,100,100,60,70,NA,65,90,90,90,100,90,88,75,90,100,NA,75,70,65,90,NA,90,NA,NA,55,NA,NA,60,NA,NA,90
LATAM,2685,WHY_LATAM,LATAM,466,why__616f6ed2ead3bb59cd1397ac,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,616f6ed2ead3bb59cd1397ac,616f6ed2ead3bb59cd1397ac,NA,MX,MX,latin_america,18_24,female,other,usable_complete,TRUE,TRUE,32,86,90,62,NA,71,54,81,65,67,85,81,71,63,NA,69,NA,76,NA,70,59,65,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
LATAM,2686,WHY_LATAM,LATAM,467,why__61709e0bf43e2224192a5327,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,61709e0bf43e2224192a5327,61709e0bf43e2224192a5327,NA,MX,MX,latin_america,25_34,female,employed,usable_partial,TRUE,TRUE,31,NA,57,70,67,59,NA,NA,NA,50,66,50,91,66,NA,NA,74,90,66,50,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,61
LATAM,2687,WHY_LATAM,LATAM,468,why__6170c9123edfc3ee296cda22,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6170c9123edfc3ee296cda22,6170c9123edfc3ee296cda22,NA,MX,MX,latin_america,25_34,male,unemployed,usable_partial,TRUE,TRUE,30,79,90,77,NA,70,NA,73,NA,59,94,100,91,95,71,98,90,65,82,77,57,67,NA,59,NA,NA,69,79,NA,NA,NA,NA,63
LATAM,2688,WHY_LATAM,LATAM,469,why__617453a66b7f8a31a27a6689,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,617453a66b7f8a31a27a6689,617453a66b7f8a31a27a6689,NA,MX,MX,latin_america,18_24,female,employed,usable_complete,TRUE,TRUE,32,100,100,70,50,NA,50,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,NA,50,NA,NA,55,60,NA,80,NA,NA,55
LATAM,2689,WHY_LATAM,LATAM,470,why__6175a21c9a0b946e86e8792d,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6175a21c9a0b946e86e8792d,6175a21c9a0b946e86e8792d,NA,MX,MX,latin_america,18_24,female,employed,usable_partial,TRUE,TRUE,31,85,70,80,80,75,60,NA,80,NA,85,60,100,80,70,90,82,71,85,85,65,NA,NA,76,NA,NA,NA,65,NA,65,NA,NA,NA
LATAM,2690,WHY_LATAM,LATAM,471,why__617600aa26fa05b6decdaaef,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,617600aa26fa05b6decdaaef,617600aa26fa05b6decdaaef,NA,MX,MX,latin_america,25_34,male,employed,usable_complete,TRUE,TRUE,32,63,66,54,66,NA,65,71,55,71,80,91,67,84,81,75,81,76,69,74,74,87,NA,73,54,69,74,NA,NA,68,51,NA,81
LATAM,2691,WHY_LATAM,LATAM,472,why__61764d66dde556a8e0d03c14,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,61764d66dde556a8e0d03c14,61764d66dde556a8e0d03c14,NA,MX,MX,latin_america,18_24,male,employed,usable_complete,TRUE,TRUE,32,100,82,69,93,94,78,NA,79,100,88,78,100,82,76,84,100,100,63,100,68,57,NA,NA,61,NA,85,NA,NA,63,76,NA,100
LATAM,2692,WHY_LATAM,LATAM,473,why__63bb4a3a48b487f62234debe,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,63bb4a3a48b487f62234debe,63bb4a3a48b487f62234debe,NA,MX,MX,latin_america,45_54,male,inactive_other,usable_complete,TRUE,TRUE,32,85,73,87,NA,82,NA,100,68,55,87,83,74,72,100,77,NA,77,NA,68,NA,100,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA
LATAM,2693,WHY_LATAM,LATAM,474,why__why_noid_191,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_191,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,90,94,79,61,NA,66,NA,NA,80,90,100,NA,70,87,NA,77,80,73,73,79,60,NA,60,NA,NA,74,NA,NA,NA,NA,NA,60
LATAM,2694,WHY_LATAM,LATAM,475,why__why_noid_192,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_192,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_partial_limited_metadata,TRUE,TRUE,30,79,81,100,NA,100,NA,62,78,100,89,99,92,74,NA,100,100,100,83,88,82,82,67,NA,70,60,100,66,NA,74,67,NA,71
LATAM,2695,WHY_LATAM,LATAM,476,why__why_noid_207,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_207,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_partial_limited_metadata,TRUE,TRUE,31,70,NA,93,NA,NA,NA,75,NA,NA,60,73,80,55,NA,71,76,60,NA,60,65,68,NA,67,NA,56,54,NA,72,NA,NA,NA,NA
LATAM,2696,WHY_LATAM,LATAM,477,why__why_noid_209,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_209,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,70,100,55,NA,NA,NA,70,65,55,100,100,75,65,NA,95,100,60,55,60,60,55,NA,60,NA,NA,60,65,NA,NA,NA,NA,55
LATAM,2697,WHY_LATAM,LATAM,478,why__why_noid_242,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_242,NA,NA,CL,CL,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,NA,100,100,100,100,100,NA,72,63,76,NA,100,100,100,100,100,100,100,100,NA,NA,70,NA,NA,NA,100,NA,100,NA,NA,NA,NA
LATAM,2698,WHY_LATAM,LATAM,479,why__why_noid_253,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_253,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,72,100,100,78,NA,100,100,83,85,100,100,100,85,100,100,100,79,61,65,NA,100,68,100,NA,77,NA,NA,NA,NA,NA,NA,74
LATAM,2699,WHY_LATAM,LATAM,480,why__why_noid_283,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_283,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,80,100,85,NA,NA,85,69,60,70,85,100,100,75,69,80,74,75,60,85,76,NA,NA,100,NA,70,70,NA,NA,NA,68,NA,64
LATAM,2700,WHY_LATAM,LATAM,481,why__why_noid_328,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_328,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,70,100,50,NA,100,100,NA,65,NA,80,100,100,100,100,55,100,NA,100,75,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,70
LATAM,2701,WHY_LATAM,LATAM,482,why__why_noid_369,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_369,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,NA,NA,NA,NA,68,NA,NA,NA,NA,70,76,76,73,NA,71,71,NA,75,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
LATAM,2702,WHY_LATAM,LATAM,483,why__why_noid_40,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_40,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,80,NA,60,NA,NA,55,50,80,65,90,85,90,65,NA,80,70,70,60,60,NA,65,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
LATAM,2703,WHY_LATAM,LATAM,484,why__why_noid_411,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_411,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_partial_limited_metadata,TRUE,TRUE,31,NA,77,NA,78,87,76,NA,60,57,66,NA,77,63,NA,76,57,97,78,86,80,65,61,54,71,59,63,67,70,69,67,NA,75
LATAM,2704,WHY_LATAM,LATAM,485,why__why_noid_423,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_423,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,59,74,71,62,66,88,81,90,61,62,90,NA,77,89,65,81,78,84,75,59,72,67,73,63,71,70,NA,73,68,NA,NA,73
LATAM,2705,WHY_LATAM,LATAM,486,why__why_noid_497,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_497,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,98,58,63,52,57,58,55,69,51,59,56,NA,NA,67,57,55,76,99,100,NA,58,55,57,66,60,NA,59,61,64,71,58,NA
LATAM,2706,WHY_LATAM,LATAM,487,why__why_noid_498,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_498,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,71,66,NA,82,59,60,NA,63,57,68,55,60,NA,64,70,63,63,59,NA,82,59,NA,58,NA,59,60,72,66,55,67,67,NA
LATAM,2707,WHY_LATAM,LATAM,488,why__why_noid_499,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_499,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_partial_limited_metadata,TRUE,TRUE,28,100,100,83,100,100,97,99,72,100,NA,100,100,100,100,100,76,100,100,NA,100,100,100,80,100,100,100,100,100,100,100,NA,NA
LATAM,2708,WHY_LATAM,LATAM,489,why__why_noid_500,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_500,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_partial_limited_metadata,TRUE,TRUE,29,65,60,53,56,NA,NA,71,NA,78,55,100,95,67,51,NA,72,65,66,100,77,80,NA,58,79,50,61,NA,64,NA,58,NA,82
LATAM,2709,WHY_LATAM,LATAM,490,why__why_noid_501,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,why_noid_501,NA,NA,MX,MX,latin_america,unknown,unknown,unknown,usable_partial_limited_metadata,TRUE,TRUE,30,NA,NA,57,NA,NA,93,100,NA,NA,100,100,68,NA,91,NA,71,NA,NA,NA,NA,67,NA,NA,NA,NA,75,NA,51,NA,100,NA,NA
