analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
LATAM,2425,WHY_LATAM,LATAM,206,why__600b6eeca045ed2188390225,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,600b6eeca045ed2188390225,600b6eeca045ed2188390225,NA,CL,CL,latin_america,18_24,male,other,usable_complete,TRUE,TRUE,32,0.5,1,0.55,0.5,0.5,0.5,0.65,0.5,0.5,0.55,0.7,0.6,0.7,0.5,0.75,0.5,0.75,0.55,0.6,0.5,0.6,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5
LATAM,2426,WHY_LATAM,LATAM,207,why__600cd05c07aa66461671a98e,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,600cd05c07aa66461671a98e,600cd05c07aa66461671a98e,NA,MX,MX,latin_america,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.59,0.99,0.8,0.58,0.84,0.5,0.61,0.82,0.66,0.97,0.76,0.78,0.98,0.5,0.79,0.79,0.65,0.61,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.62
LATAM,2427,WHY_LATAM,LATAM,208,why__6028556644c98e198530f83f,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6028556644c98e198530f83f,6028556644c98e198530f83f,NA,MX,MX,latin_america,18_24,female,employed,usable_complete,TRUE,TRUE,32,0.78,0.5,0.5,0.6,0.57,0.7,0.61,0.72,0.58,0.87,0.89,0.66,0.82,0.81,0.65,0.61,0.68,0.5,0.5,0.5,0.79,0.58,0.5,0.5,0.74,0.66,0.5,0.5,0.63,0.61,0.5,0.78
LATAM,2428,WHY_LATAM,LATAM,209,why__602a87fa4ae79107f91d2524,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,602a87fa4ae79107f91d2524,602a87fa4ae79107f91d2524,NA,CL,CL,latin_america,45_54,female,unknown,usable_complete,TRUE,TRUE,32,0.8,0.71,0.75,0.58,0.71,0.65,0.64,0.7,0.7,0.8,0.5,0.62,0.54,0.71,0.82,0.82,0.75,0.56,0.67,0.72,0.6,0.5,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.59
LATAM,2429,WHY_LATAM,LATAM,210,why__602b04fcb9bd922174f5fea6,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,602b04fcb9bd922174f5fea6,602b04fcb9bd922174f5fea6,NA,MX,MX,latin_america,18_24,female,employed,usable_complete,TRUE,TRUE,32,0.5,1,0.85,0.5,0.5,0.88,0.5,0.71,0.59,0.8,0.65,0.5,0.54,0.78,0.63,0.54,0.5,0.5,0.53,0.5,0.73,0.51,0.72,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.75
LATAM,2430,WHY_LATAM,LATAM,211,why__602d86345f6c24812bfc3a4e,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,602d86345f6c24812bfc3a4e,602d86345f6c24812bfc3a4e,NA,MX,MX,latin_america,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.5,0.64,0.68,0.75,0.64,0.5,0.84,0.67,0.73,0.92,0.76,0.75,0.76,0.5,0.68,0.82,0.75,0.76,0.75,0.8,0.5,0.5,0.5,0.5,0.5,0.68,0.72,0.5,0.5,0.59,0.5,0.74
LATAM,2431,WHY_LATAM,LATAM,212,why__6032a88a2b8e882a37cc2766,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6032a88a2b8e882a37cc2766,6032a88a2b8e882a37cc2766,NA,MX,MX,latin_america,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.75,0.75,0.8,0.8,0.7,0.8,0.75,0.8,0.86,0.91,0.8,0.5,0.76,0.96,0.8,0.69,0.79,0.7,0.85,0.5,0.75,0.82,0.85,0.5,0.74,0.9,0.78,0.55,0.5,0.7,0.5,0.5
LATAM,2432,WHY_LATAM,LATAM,213,why__6033d713338d850cd675d073,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6033d713338d850cd675d073,6033d713338d850cd675d073,NA,MX,MX,latin_america,18_24,female,unknown,usable_complete,TRUE,TRUE,32,0.5,0.71,0.7,0.71,0.69,0.69,0.58,1,0.51,0.68,1,1,0.5,0.5,1,0.6,1,0.81,0.78,0.55,1,0.7,0.7,0.5,0.5,0.74,0.5,0.5,0.5,0.63,0.5,0.52
LATAM,2433,WHY_LATAM,LATAM,214,why__6039301619f2633730d2a3a5,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6039301619f2633730d2a3a5,6039301619f2633730d2a3a5,NA,MX,MX,latin_america,25_34,female,inactive_other,usable_complete,TRUE,TRUE,32,1,1,0.9,0.5,0.5,0.75,1,0.5,0.75,1,1,0.75,1,0.75,1,0.75,0.75,0.5,0.9,0.9,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
LATAM,2434,WHY_LATAM,LATAM,215,why__603985a82eb19546d480c77f,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,603985a82eb19546d480c77f,603985a82eb19546d480c77f,NA,CL,CL,latin_america,18_24,male,other,usable_complete,TRUE,TRUE,32,0.71,0.9,0.78,0.65,0.71,0.5,0.73,0.71,0.69,0.73,0.72,0.72,0.67,0.5,0.64,0.75,0.66,0.7,0.59,0.65,0.5,0.5,0.57,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.81
