"D","assigned_pct","unassigned_pct"
0,0.0031102264244837,99.9968897735755
1,0.0684249813386414,99.9315750186614
2,0.236377208260761,99.7636227917392
3,0.612714605623289,99.3872853943767
4,1.32806668325454,98.6719333167455
5,2.60014929086838,97.3998507091316
6,4.69022144812142,95.3097785518786
7,7.72269221199303,92.277307788007
8,11.7037820353322,88.2962179646678
9,16.5992784274695,83.4007215725305
10,22.4340631998009,77.565936800199
11,28.8722318984822,71.1277681015178
12,35.5405573525753,64.4594426474247
13,42.277307788007,57.722692211993
14,48.7310276188106,51.2689723811894
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
