"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"Fearful","pattern_380",380,4,14
"Influencer","pattern_1601",1601,2,6
"Careful","pattern_2800",2800,2,3
"Early Adopter","pattern_3493",3493,3,2
"Homo Economicus","pattern_10470",10470,4,2
"Stubborn","pattern_12066",12066,1,2
"Uninterested","pattern_14757",14757,3,1
"Activist","pattern_13376",13376,2,1
