comparison_region,subsample,det_col,n_rows,n_non_missing,pct_non_missing,min_value,max_value,n_below_0,n_above_100
EUROPE,DIEGO,det_01_profits,1899,1899,100,0.1364431647005504,99.95725057630506,0,0
EUROPE,DIEGO,det_02_credit_score,1899,1899,100,0.015083984758967883,99.93534334710226,0,0
EUROPE,DIEGO,det_03_risk_profile,1899,1899,100,0.281339752976284,99.99136090776717,0,0
EUROPE,DIEGO,det_04_added_value,1899,1899,100,0.18266103935291045,99.94367383478753,0,0
EUROPE,DIEGO,det_05_frugality,1899,1899,100,0.27980626342108966,99.86107598577556,0,0
EUROPE,DIEGO,det_06_climate_protection,1899,1899,100,0.1021942687269795,99.99990145365531,0,0
EUROPE,DIEGO,det_07_legal,1899,1899,100,0.0415505006908623,99.80983012942838,0,0
EUROPE,DIEGO,det_08_trust,1899,1899,100,0.17186816524050738,99.91569352833903,0,0
EUROPE,DIEGO,det_09_safety,1899,1899,100,0.14825098505484305,99.97245561156835,0,0
EUROPE,DIEGO,det_10_cost_efficiency,1899,1899,100,0.014716450324231412,99.9681538112205,0,0
EUROPE,DIEGO,det_11_knowledge,1899,1899,100,0.20097615449332643,99.96703784326216,0,0
EUROPE,DIEGO,det_12_own_competence,1899,1899,100,0.3473563568865023,99.8811827388913,0,0
EUROPE,DIEGO,det_13_technical_fit,1899,1899,100,0.0016885854302706167,99.91686552758485,0,0
EUROPE,DIEGO,det_14_environmental_concerns,1899,1899,100,0.7398904628828086,99.99992689857886,0,0
EUROPE,DIEGO,det_15_self_satisfaction,1899,1899,100,0.47427756608481875,99.91443128915624,0,0
EUROPE,DIEGO,det_16_commitment,1899,1899,100,0.021744479006002848,99.99587983778359,0,0
EUROPE,DIEGO,det_17_adherence,1899,1899,100,0.12301413292558629,99.96315202050138,0,0
EUROPE,DIEGO,det_18_autonomy,1899,1899,100,0.07676443923262946,99.97720731328164,0,0
EUROPE,DIEGO,det_19_wellbeing,1899,1899,100,0.22319730517263991,99.95392373195477,0,0
EUROPE,DIEGO,det_20_coziness,1899,1899,100,0.5199327686178701,99.9827848529166,0,0
EUROPE,DIEGO,det_21_rights_and_duties,1899,1899,100,0.017122305934635932,99.97882363526627,0,0
EUROPE,DIEGO,det_22_peer_pressure,1899,1899,100,0.07047369515466027,99.83469653618234,0,0
EUROPE,DIEGO,det_23_support,1899,1899,100,0.11173780549159627,99.51092504496468,0,0
EUROPE,DIEGO,det_24_socialising,1899,1899,100,0.02120989556894104,99.94364159499102,0,0
EUROPE,DIEGO,det_25_agreement,1899,1899,100,0.04637000898306544,99.968681309973,0,0
EUROPE,DIEGO,det_26_novelty,1899,1899,100,0.21278330488030966,99.99978112353278,0,0
EUROPE,DIEGO,det_27_fun,1899,1899,100,0.01995890598669448,99.84335951695915,0,0
EUROPE,DIEGO,det_28_recognition,1899,1899,100,0.0346041830700916,99.66491535873261,0,0
EUROPE,DIEGO,det_29_trends,1899,1899,100,0.1206085951695912,99.25764359494067,0,0
EUROPE,DIEGO,det_30_authority,1899,1899,100,0.08845028602647574,99.96491188228913,0,0
EUROPE,DIEGO,det_31_approval,1899,1899,100,0.005470865717760454,99.95088827759083,0,0
EUROPE,DIEGO,det_32_own_significance,1899,1899,100,0.11058744413703914,99.90602954151652,0,0
EUROPE,RENOVISOR,det_01_profits,1229,906,73.71847030105776,0,100,0,0
EUROPE,RENOVISOR,det_02_credit_score,1229,892,72.5793327908869,0,100,0,0
EUROPE,RENOVISOR,det_03_risk_profile,1229,895,72.82343368592352,0,100,0,0
EUROPE,RENOVISOR,det_04_added_value,1229,887,72.17249796582587,0,100,0,0
EUROPE,RENOVISOR,det_05_frugality,1229,889,72.33523189585028,0,100,0,0
EUROPE,RENOVISOR,det_06_climate_protection,1229,932,75.8340113913751,0,100,0,0
EUROPE,RENOVISOR,det_07_legal,1229,901,73.31163547599675,0,100,0,0
EUROPE,RENOVISOR,det_08_trust,1229,915,74.45077298616762,0,100,0,0
EUROPE,RENOVISOR,det_09_safety,1229,902,73.39300244100895,0,100,0,0
EUROPE,RENOVISOR,det_10_cost_efficiency,1229,917,74.61350691619202,0,100,0,0
EUROPE,RENOVISOR,det_11_knowledge,1229,931,75.75264442636289,0,100,0,0
EUROPE,RENOVISOR,det_12_own_competence,1229,881,71.68429617575265,0,100,0,0
EUROPE,RENOVISOR,det_13_technical_fit,1229,920,74.85760781122865,0,100,0,0
EUROPE,RENOVISOR,det_14_environmental_concerns,1229,929,75.58991049633849,0,100,0,0
EUROPE,RENOVISOR,det_15_self_satisfaction,1229,920,74.85760781122865,0,100,0,0
