subsample,variable,value,n,prop
RENOVISOR,political_block_model,extreme_right,33,0.026851098454027666
RENOVISOR,self_classification_model,careful,324,0.2636289666395443
RENOVISOR,self_classification_model,homo_economicus,280,0.22782750203417412
RENOVISOR,self_classification_model,activist,268,0.21806346623270953
RENOVISOR,self_classification_model,fearful,168,0.13669650122050447
RENOVISOR,self_classification_model,unknown,143,0.11635475996745322
RENOVISOR,self_classification_model,influencer,46,0.03742880390561432
RENOVISOR,student_status_model,unknown,1229,1
RENOVISOR,vote_status_declared,voter,484,0.3938161106590724
RENOVISOR,vote_status_declared,uncertain,475,0.386493083807974
RENOVISOR,vote_status_declared,abstainer,142,0.11554109031733116
RENOVISOR,vote_status_declared,unknown,122,0.09926769731489016
RENOVISOR,vote_status_declared,conflict,6,0.004882017900732303
WHY_EUROPE,age_group_model,18_39,820,0.8282828282828283
WHY_EUROPE,age_group_model,40_59,152,0.15353535353535352
WHY_EUROPE,age_group_model,60_plus,16,0.01616161616161616
WHY_EUROPE,age_group_model,unknown,2,0.00202020202020202
WHY_EUROPE,country_birth_model,IT,156,0.15757575757575756
WHY_EUROPE,country_birth_model,DE,149,0.1505050505050505
WHY_EUROPE,country_birth_model,PL,82,0.08282828282828283
WHY_EUROPE,country_birth_model,ES,73,0.07373737373737374
WHY_EUROPE,country_birth_model,FR,72,0.07272727272727272
WHY_EUROPE,country_birth_model,HU,60,0.06060606060606061
WHY_EUROPE,country_birth_model,NL,59,0.0595959595959596
WHY_EUROPE,country_birth_model,GR,30,0.030303030303030304
WHY_EUROPE,country_birth_model,GB,25,0.025252525252525252
WHY_EUROPE,country_birth_model,BE,23,0.023232323232323233
WHY_EUROPE,country_birth_model,PT,22,0.022222222222222223
WHY_EUROPE,country_birth_model,IE,18,0.01818181818181818
WHY_EUROPE,country_birth_model,IN,14,0.014141414141414142
WHY_EUROPE,country_birth_model,AT,13,0.013131313131313131
WHY_EUROPE,country_birth_model,LV,13,0.013131313131313131
WHY_EUROPE,country_birth_model,SI,13,0.013131313131313131
WHY_EUROPE,country_birth_model,CZ,12,0.012121212121212121
WHY_EUROPE,country_birth_model,US,12,0.012121212121212121
WHY_EUROPE,country_birth_model,TR,11,0.011111111111111112
WHY_EUROPE,country_birth_model,RU,10,0.010101010101010102
WHY_EUROPE,country_birth_model,FI,9,0.00909090909090909
WHY_EUROPE,country_birth_model,RO,7,0.007070707070707071
WHY_EUROPE,country_birth_model,SE,7,0.007070707070707071
WHY_EUROPE,country_birth_model,BR,5,0.005050505050505051
WHY_EUROPE,country_birth_model,EE,5,0.005050505050505051
WHY_EUROPE,country_birth_model,UA,5,0.005050505050505051
WHY_EUROPE,country_birth_model,MX,4,0.00404040404040404
WHY_EUROPE,country_birth_model,NG,4,0.00404040404040404
WHY_EUROPE,country_birth_model,VE,4,0.00404040404040404
WHY_EUROPE,country_birth_model,NA,4,0.00404040404040404
WHY_EUROPE,country_birth_model,CA,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,CN,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,ID,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,LT,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,RS,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,SY,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,VN,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,ZA,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,ZW,3,0.0030303030303030303
WHY_EUROPE,country_birth_model,AU,2,0.00202020202020202
WHY_EUROPE,country_birth_model,BD,2,0.00202020202020202
WHY_EUROPE,country_birth_model,CH,2,0.00202020202020202
WHY_EUROPE,country_birth_model,CU,2,0.00202020202020202
WHY_EUROPE,country_birth_model,GH,2,0.00202020202020202
WHY_EUROPE,country_birth_model,IR,2,0.00202020202020202
WHY_EUROPE,country_birth_model,KZ,2,0.00202020202020202
WHY_EUROPE,country_birth_model,LB,2,0.00202020202020202
WHY_EUROPE,country_birth_model,MA,2,0.00202020202020202
WHY_EUROPE,country_birth_model,MY,2,0.00202020202020202
WHY_EUROPE,country_birth_model,PK,2,0.00202020202020202
WHY_EUROPE,country_birth_model,AL,1,0.00101010101010101
WHY_EUROPE,country_birth_model,AR,1,0.00101010101010101
WHY_EUROPE,country_birth_model,BG,1,0.00101010101010101
WHY_EUROPE,country_birth_model,BO,1,0.00101010101010101
WHY_EUROPE,country_birth_model,CL,1,0.00101010101010101
WHY_EUROPE,country_birth_model,CO,1,0.00101010101010101
WHY_EUROPE,country_birth_model,DK,1,0.00101010101010101
WHY_EUROPE,country_birth_model,EG,1,0.00101010101010101
WHY_EUROPE,country_birth_model,HK,1,0.00101010101010101
WHY_EUROPE,country_birth_model,HR,1,0.00101010101010101
WHY_EUROPE,country_birth_model,HT,1,0.00101010101010101
WHY_EUROPE,country_birth_model,KG,1,0.00101010101010101
WHY_EUROPE,country_birth_model,MD,1,0.00101010101010101
WHY_EUROPE,country_birth_model,PA,1,0.00101010101010101
WHY_EUROPE,country_birth_model,PE,1,0.00101010101010101
WHY_EUROPE,country_birth_model,PH,1,0.00101010101010101
WHY_EUROPE,country_birth_model,SA,1,0.00101010101010101
WHY_EUROPE,country_birth_model,SK,1,0.00101010101010101
WHY_EUROPE,country_birth_model,TN,1,0.00101010101010101
WHY_EUROPE,country_birth_model,TZ,1,0.00101010101010101
WHY_EUROPE,country_model_grouped,DE,207,0.20909090909090908
WHY_EUROPE,country_model_grouped,IT,160,0.16161616161616163
WHY_EUROPE,country_model_grouped,FR,92,0.09292929292929293
WHY_EUROPE,country_model_grouped,NL,92,0.09292929292929293
WHY_EUROPE,country_model_grouped,ES,88,0.08888888888888889
WHY_EUROPE,country_model_grouped,PL,82,0.08282828282828283
WHY_EUROPE,country_model_grouped,HU,69,0.0696969696969697
WHY_EUROPE,country_model_grouped,BE,32,0.03232323232323232
WHY_EUROPE,country_model_grouped,GR,32,0.03232323232323232
WHY_EUROPE,country_model_grouped,IE,32,0.03232323232323232
WHY_EUROPE,country_model_grouped,PT,19,0.01919191919191919
WHY_EUROPE,country_model_grouped,AT,17,0.01717171717171717
WHY_EUROPE,country_model_grouped,CZ,16,0.01616161616161616
WHY_EUROPE,country_model_grouped,LV,14,0.014141414141414142
WHY_EUROPE,country_model_grouped,FI,12,0.012121212121212121
WHY_EUROPE,country_model_grouped,SI,12,0.012121212121212121
WHY_EUROPE,country_model_grouped,SE,9,0.00909090909090909
WHY_EUROPE,country_model_grouped,OTHER_COUNTRIES,3,0.0030303030303030303
WHY_EUROPE,country_model_grouped,DK,2,0.00202020202020202
WHY_EUROPE,education_model,unknown,988,0.997979797979798
WHY_EUROPE,education_model,high,1,0.00101010101010101
WHY_EUROPE,education_model,medium,1,0.00101010101010101
WHY_EUROPE,employment_model,employed,634,0.6404040404040404
WHY_EUROPE,employment_model,unknown,120,0.12121212121212122
WHY_EUROPE,employment_model,unemployed,105,0.10606060606060606
WHY_EUROPE,employment_model,other,96,0.09696969696969697
WHY_EUROPE,employment_model,inactive_other,35,0.03535353535353535
WHY_EUROPE,gender_model,male,498,0.503030303030303
WHY_EUROPE,gender_model,female,490,0.494949494949495
WHY_EUROPE,gender_model,unknown,2,0.00202020202020202
WHY_EUROPE,income_model,unknown,990,1
WHY_EUROPE,language_model,EN,958,0.9676767676767677
WHY_EUROPE,language_model,DE,20,0.020202020202020204
WHY_EUROPE,language_model,ES,12,0.012121212121212121
WHY_EUROPE,nationality_model,italy,159,0.1606060606060606
WHY_EUROPE,nationality_model,germany,157,0.15858585858585858
WHY_EUROPE,nationality_model,poland,81,0.08181818181818182
WHY_EUROPE,nationality_model,spain,79,0.0797979797979798
WHY_EUROPE,nationality_model,france,72,0.07272727272727272
WHY_EUROPE,nationality_model,hungary,62,0.06262626262626263
WHY_EUROPE,nationality_model,netherlands,59,0.0595959595959596
WHY_EUROPE,nationality_model,greece,33,0.03333333333333333
WHY_EUROPE,nationality_model,belgium,26,0.026262626262626262
WHY_EUROPE,nationality_model,ireland,23,0.023232323232323233
WHY_EUROPE,nationality_model,portugal,23,0.023232323232323233
WHY_EUROPE,nationality_model,united kingdom,23,0.023232323232323233
WHY_EUROPE,nationality_model,india,15,0.015151515151515152
WHY_EUROPE,nationality_model,latvia,14,0.014141414141414142
WHY_EUROPE,nationality_model,austria,13,0.013131313131313131
WHY_EUROPE,nationality_model,turkey,13,0.013131313131313131
WHY_EUROPE,nationality_model,czech republic,12,0.012121212121212121
WHY_EUROPE,nationality_model,slovenia,12,0.012121212121212121
WHY_EUROPE,nationality_model,finland,9,0.00909090909090909
WHY_EUROPE,nationality_model,united states,8,0.00808080808080808
WHY_EUROPE,nationality_model,sweden,7,0.007070707070707071
WHY_EUROPE,nationality_model,romania,6,0.006060606060606061
WHY_EUROPE,nationality_model,brazil,5,0.005050505050505051
WHY_EUROPE,nationality_model,estonia,4,0.00404040404040404
WHY_EUROPE,nationality_model,mexico,4,0.00404040404040404
WHY_EUROPE,nationality_model,nigeria,4,0.00404040404040404
WHY_EUROPE,nationality_model,russian federation,4,0.00404040404040404
WHY_EUROPE,nationality_model,south africa,4,0.00404040404040404
WHY_EUROPE,nationality_model,unknown,4,0.00404040404040404
WHY_EUROPE,nationality_model,china,3,0.0030303030303030303
WHY_EUROPE,nationality_model,indonesia,3,0.0030303030303030303
WHY_EUROPE,nationality_model,lebanon,3,0.0030303030303030303
WHY_EUROPE,nationality_model,lithuania,3,0.0030303030303030303
WHY_EUROPE,nationality_model,syrian arab republic,3,0.0030303030303030303
WHY_EUROPE,nationality_model,ukraine,3,0.0030303030303030303
WHY_EUROPE,nationality_model,australia,2,0.00202020202020202
WHY_EUROPE,nationality_model,bangladesh,2,0.00202020202020202
WHY_EUROPE,nationality_model,canada,2,0.00202020202020202
WHY_EUROPE,nationality_model,croatia,2,0.00202020202020202
WHY_EUROPE,nationality_model,ghana,2,0.00202020202020202
WHY_EUROPE,nationality_model,iran,2,0.00202020202020202
WHY_EUROPE,nationality_model,serbia,2,0.00202020202020202
WHY_EUROPE,nationality_model,tunisia,2,0.00202020202020202
WHY_EUROPE,nationality_model,vietnam,2,0.00202020202020202
WHY_EUROPE,nationality_model,zimbabwe,2,0.00202020202020202
WHY_EUROPE,nationality_model,albania,1,0.00101010101010101
WHY_EUROPE,nationality_model,argentina,1,0.00101010101010101
WHY_EUROPE,nationality_model,bulgaria,1,0.00101010101010101
WHY_EUROPE,nationality_model,colombia,1,0.00101010101010101
WHY_EUROPE,nationality_model,denmark,1,0.00101010101010101
WHY_EUROPE,nationality_model,egypt,1,0.00101010101010101
WHY_EUROPE,nationality_model,kyrgyzstan,1,0.00101010101010101
WHY_EUROPE,nationality_model,malaysia,1,0.00101010101010101
WHY_EUROPE,nationality_model,morocco,1,0.00101010101010101
WHY_EUROPE,nationality_model,pakistan,1,0.00101010101010101
WHY_EUROPE,nationality_model,panama,1,0.00101010101010101
WHY_EUROPE,nationality_model,peru,1,0.00101010101010101
WHY_EUROPE,nationality_model,philippines,1,0.00101010101010101
WHY_EUROPE,nationality_model,slovakia,1,0.00101010101010101
WHY_EUROPE,nationality_model,switzerland,1,0.00101010101010101
WHY_EUROPE,nationality_model,tanzania,1,0.00101010101010101
WHY_EUROPE,nationality_model,uzbekistan,1,0.00101010101010101
WHY_EUROPE,political_block_model,unknown,990,1
WHY_EUROPE,self_classification_model,unknown,990,1
WHY_EUROPE,student_status_model,not_student,571,0.5767676767676768
WHY_EUROPE,student_status_model,student,368,0.3717171717171717
WHY_EUROPE,student_status_model,unknown,51,0.051515151515151514
WHY_EUROPE,vote_status_declared,unknown,990,1
WHY_LATAM,age_group_model,18_39,421,0.6598746081504702
WHY_LATAM,age_group_model,unknown,165,0.25862068965517243
WHY_LATAM,age_group_model,40_59,49,0.0768025078369906
WHY_LATAM,age_group_model,60_plus,3,0.004702194357366771
WHY_LATAM,country_birth_model,MX,385,0.603448275862069
WHY_LATAM,country_birth_model,NA,166,0.2601880877742947
WHY_LATAM,country_birth_model,CL,64,0.10031347962382445
WHY_LATAM,country_birth_model,US,11,0.017241379310344827
WHY_LATAM,country_birth_model,VE,6,0.009404388714733543
WHY_LATAM,country_birth_model,AM,1,0.001567398119122257
WHY_LATAM,country_birth_model,CA,1,0.001567398119122257
WHY_LATAM,country_birth_model,CM,1,0.001567398119122257
WHY_LATAM,country_birth_model,DE,1,0.001567398119122257
WHY_LATAM,country_birth_model,GB,1,0.001567398119122257
WHY_LATAM,country_birth_model,IN,1,0.001567398119122257
WHY_LATAM,country_model_grouped,MX,544,0.8526645768025078
WHY_LATAM,country_model_grouped,CL,78,0.12225705329153605
WHY_LATAM,country_model_grouped,CO,16,0.025078369905956112
WHY_LATAM,education_model,unknown,482,0.7554858934169278
WHY_LATAM,education_model,medium,79,0.1238244514106583
WHY_LATAM,education_model,high,76,0.11912225705329153
WHY_LATAM,education_model,low,1,0.001567398119122257
WHY_LATAM,employment_model,employed,293,0.4592476489028213
WHY_LATAM,employment_model,unknown,221,0.3463949843260188
WHY_LATAM,employment_model,unemployed,81,0.12695924764890282
WHY_LATAM,employment_model,other,28,0.0438871473354232
WHY_LATAM,employment_model,inactive_other,15,0.023510971786833857
WHY_LATAM,gender_model,male,239,0.37460815047021945
WHY_LATAM,gender_model,female,234,0.3667711598746082
WHY_LATAM,gender_model,unknown,165,0.25862068965517243
WHY_LATAM,income_model,unknown,638,1
WHY_LATAM,language_model,ES,598,0.9373040752351097
WHY_LATAM,language_model,EN,40,0.06269592476489028
WHY_LATAM,nationality_model,mexico,386,0.6050156739811913
WHY_LATAM,nationality_model,unknown,166,0.2601880877742947
WHY_LATAM,nationality_model,chile,65,0.10188087774294671
WHY_LATAM,nationality_model,united states,11,0.017241379310344827
WHY_LATAM,nationality_model,venezuela bolivarian republic of,4,0.006269592476489028
WHY_LATAM,nationality_model,armenia,1,0.001567398119122257
WHY_LATAM,nationality_model,canada,1,0.001567398119122257
WHY_LATAM,nationality_model,germany,1,0.001567398119122257
WHY_LATAM,nationality_model,india,1,0.001567398119122257
WHY_LATAM,nationality_model,spain,1,0.001567398119122257
WHY_LATAM,nationality_model,united kingdom,1,0.001567398119122257
WHY_LATAM,political_block_model,unknown,638,1
WHY_LATAM,self_classification_model,unknown,638,1
WHY_LATAM,student_status_model,not_student,238,0.3730407523510972
WHY_LATAM,student_status_model,unknown,218,0.34169278996865204
WHY_LATAM,student_status_model,student,182,0.2852664576802508
WHY_LATAM,vote_status_declared,unknown,638,1
