harmonised_variable,source_columns,n_source_columns
year_birth,year_birth_raw | rv_decision__please_enter_your_year_of_birth | rv_decision__at_the_end_of_the_survey_you_will_be_provided_two_links_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_the_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it | rv_concerns2__please_enter_your_year_of_birth | rv_concerns2__at_the_end_of_the_survey_you_will_be_provided_a_link_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_both_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it | rv_energy_crisis__please_enter_your_year_of_birth | rv_energy_crisis__at_the_end_of_the_survey_you_will_be_provided_a_link_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_both_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it | rv_poverty__please_enter_your_year_of_birth | rv_poverty__at_the_end_of_the_survey_you_will_be_provided_two_links_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_the_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it,9
age,age_raw | prolific_age | diego__q1,3
gender,gender_raw | prolific_sex | prolific_gender | diego__q2 | rv_decision__what_is_your_gender | rv_concerns2__what_is_your_gender | rv_energy_crisis__what_is_your_gender | rv_poverty__what_is_your_gender,8
country_raw,country_raw | country_raw_survey | prolific_country_raw | prolific_country_of_residence | prolific_country_residence | diego__q3 | rv_decision__in_which_country_do_you_currently_live | rv_concerns2__in_which_country_do_you_currently_live | rv_energy_crisis__in_which_country_do_you_currently_live | rv_poverty__in_which_country_do_you_currently_live | why__i_which_country_do_you_reside_id300,11
country_code,country_code | country_code_survey | prolific_country_code | prolific_country_residence_code,4
country_birth,prolific_country_of_birth | prolific_country_birth,2
nationality,prolific_nationality,1
ethnicity,prolific_ethnicity_simplified | prolific_ethnicity,2
language,language_raw | prolific_language | rv_energy_crisis__languages | why__languages,4
student_status,prolific_student_status,1
