bootstrap_id,mean_similarity_to_others
46,56.081649831649834
32,55.513468013468014
35,55.49242424242424
93,55.387205387205384
1,55.36616161616162
90,55.34511784511785
65,55.21885521885522
84,55.02946127946128
44,54.966329966329965
83,54.77693602693603
72,54.67171717171717
11,54.6506734006734
67,54.54545454545455
80,54.524410774410775
56,54.166666666666664
99,54.12457912457913
23,54.10353535353536
13,54.082491582491585
77,53.97727272727273
14,53.91414141414141
4,53.78787878787879
10,53.76683501683502
18,53.7037037037037
26,53.68265993265993
8,53.61952861952862
79,53.514309764309765
25,53.49326599326599
16,53.43013468013468
61,53.40909090909091
24,53.388047138047135
39,53.388047138047135
2,53.32491582491583
45,53.282828282828284
96,53.1986531986532
92,53.072390572390574
68,52.98821548821549
100,52.946127946127945
30,52.9040404040404
82,52.9040404040404
38,52.81986531986532
3,52.79882154882155
15,52.79882154882155
63,52.79882154882155
43,52.77777777777778
86,52.77777777777778
49,52.65151515151515
88,52.60942760942761
95,52.525252525252526
70,52.504208754208754
74,52.46212121212121
85,52.46212121212121
6,52.44107744107744
37,52.42003367003367
55,52.42003367003367
51,52.31481481481482
98,52.293771043771045
69,52.27272727272727
75,52.27272727272727
40,52.167508417508415
89,52.167508417508415
64,52.14646464646464
73,52.12542087542088
52,52.083333333333336
34,52.02020202020202
53,51.97811447811448
54,51.957070707070706
48,51.936026936026934
42,51.87289562289562
28,51.746632996633
20,51.725589225589225
66,51.64141414141414
58,51.620370370370374
87,51.47306397306397
57,51.4520202020202
91,51.36784511784512
31,51.367845117845114
7,51.32575757575758
5,51.26262626262626
97,51.22053872053872
21,51.073232323232325
22,51.073232323232325
71,51.01010101010101
36,50.96801346801347
27,50.90488215488215
19,50.88383838383838
62,50.82070707070707
60,50.77861952861953
17,50.75757575757576
76,50.631313131313135
59,50.63131313131313
33,50.42087542087542
29,50.04208754208754
78,50.04208754208754
41,49.87373737373738
94,49.621212121212125
81,49.55808080808081
50,49.36868686868687
12,48.29545454545455
9,48.12710437710438
47,47.0959595959596
