"D","assigned_pct","unassigned_pct"
0,0.00942418245217228,99.9905758175478
1,0.166493889988377,99.8335061100116
2,1.0303772814375,98.9696227185625
3,2.51939810888072,97.4806018911193
4,7.06499544497848,92.9350045550215
5,11.9592875318066,88.0407124681934
6,24.0190996764364,75.9809003235636
7,32.642226620174,67.357773379826
8,54.6099959161876,45.3900040838124
9,61.5933151132473,38.4066848867527
10,81.4720572990293,18.5279427009707
11,83.3286212421072,16.6713787578928
12,94.8543963811139,5.14560361888606
13,95.3821505984356,4.61784940156441
14,98.0366286557974,1.96337134420256
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
