bootstrap_id,mean_similarity_to_others
56,71.73821548821549
91,71.42255892255892
43,70.91750841750842
20,70.32828282828282
98,70.07575757575758
50,70.0547138047138
87,69.8442760942761
89,69.82323232323232
38,69.67592592592592
88,69.63383838383838
17,69.46548821548822
49,69.38131313131314
33,69.36026936026936
73,69.29713804713805
42,69.2550505050505
10,69.1919191919192
16,69.17087542087542
80,69.17087542087542
5,69.14983164983165
15,69.04461279461279
40,69.02356902356902
52,68.98148148148148
23,68.96043771043772
21,68.87626262626263
66,68.79208754208754
74,68.79208754208754
58,68.68686868686869
24,68.66582491582491
31,68.58164983164983
76,68.56060606060606
29,68.53956228956228
7,68.47643097643098
39,68.41329966329967
8,68.37121212121212
100,68.37121212121212
2,68.28703703703704
35,68.28703703703704
85,68.2449494949495
32,68.18181818181819
63,68.07659932659932
11,68.01346801346801
26,67.92929292929293
3,67.90824915824916
54,67.86616161616162
82,67.86616161616162
86,67.86616161616162
99,67.86616161616162
97,67.82407407407408
28,67.76094276094275
6,67.73989898989899
18,67.73989898989899
14,67.71885521885523
1,67.55050505050505
30,67.52946127946127
19,67.50841750841751
37,67.50841750841751
95,67.46632996632997
78,67.38215488215488
51,67.31902356902357
34,67.27693602693603
64,67.27693602693603
96,67.27693602693603
77,67.25589225589225
92,67.21380471380472
12,67.1506734006734
62,67.1506734006734
81,67.1506734006734
60,67.08754208754209
70,67.08754208754209
25,67.003367003367
36,66.87710437710437
79,66.68771043771044
57,66.58249158249158
90,66.58249158249158
13,66.54040404040404
59,66.51936026936026
68,66.4983164983165
94,66.47727272727273
67,66.18265993265993
22,66.07744107744108
9,66.0563973063973
75,65.95117845117845
44,65.9090909090909
4,65.8459595959596
83,65.57239057239057
61,65.36195286195286
46,65.15151515151516
84,65.00420875420875
65,64.7516835016835
69,64.70959595959596
47,64.56228956228956
93,64.49915824915826
71,64.37289562289563
41,64.3097643097643
48,64.22558922558923
45,63.84680134680135
27,63.005050505050505
72,62.85774410774411
55,62.68939393939394
53,60.92171717171717
