analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
DIEGO,matrix_32_ext_0_1,3,det_28_recognition,0.24487597156013022,0.11113248324805508,0.2292558246584098,15.16,0.63,0.28,0.08
DIEGO,matrix_32_ext_0_1,3,det_07_legal,0.24467996733948255,0.11441083538989309,0.22757475998878973,15.13,0.62,0.28,0.09
DIEGO,matrix_32_ext_0_1,3,det_15_self_satisfaction,0.24315847995134074,0.12970054296177347,0.21700005543536774,16.26,0.57,0.28,0.13
DIEGO,matrix_32_ext_0_1,3,det_16_commitment,0.2417163004768831,0.1084835055713357,0.240153119879168,15.29,0.59,0.27,0.09
DIEGO,matrix_32_ext_0_1,3,det_23_support,0.2401283130779116,0.0974145665696955,0.223262325973416,15.45,0.58,0.26,0.08
DIEGO,matrix_32_ext_0_1,3,det_10_cost_efficiency,0.23960828118394273,0.11370571075052956,0.22969673220207598,15.67,0.61,0.29,0.09
DIEGO,matrix_32_ext_0_1,3,det_04_added_value,0.23814265585531114,0.11727984479634575,0.21812056929153079,16.22,0.6,0.25,0.1
DIEGO,matrix_32_ext_0_1,3,det_09_safety,0.2380004728595977,0.1183903665531768,0.21479362843271654,16.17,0.58,0.28,0.07
DIEGO,matrix_32_ext_0_1,3,det_24_socialising,0.23552625167915453,0.10153208577064855,0.22633052422449518,15.86,0.61,0.22,0.04
DIEGO,matrix_32_ext_0_1,3,det_14_environmental_concerns,0.23271896991417762,0.10034498022264654,0.2285110057249367,15.78,0.57,0.27,0.07
DIEGO,matrix_32_ext_0_1,3,det_21_rights_and_duties,0.23262134442045437,0.10417688472306287,0.22007386787584865,15.96,0.62,0.22,0.07
DIEGO,matrix_32_ext_0_1,3,det_05_frugality,0.23092976487808692,0.11297239649414235,0.20660028770537053,16.74,0.51,0.25,0.1
DIEGO,matrix_32_ext_0_1,3,det_02_credit_score,0.2293010786768144,0.11868894058932138,0.19738676023308455,17.08,0.5,0.24,0.09
DIEGO,matrix_32_ext_0_1,3,det_29_trends,0.22733721628375533,0.11523814753096737,0.2087320622574073,17.05,0.55,0.23,0.08
DIEGO,matrix_32_ext_0_1,3,det_01_profits,0.22516005555017618,0.10659806302545895,0.20645265938547197,16.78,0.52,0.22,0.08
DIEGO,matrix_32_ext_0_1,3,det_26_novelty,0.22293752986766585,0.0885547856218479,0.21806457525171308,16.8,0.59,0.15,0.06
DIEGO,matrix_32_ext_0_1,3,det_19_wellbeing,0.2196606068393498,0.10569080414582038,0.20354164829296328,17.65,0.52,0.2,0.06
DIEGO,matrix_32_ext_0_1,3,det_08_trust,0.21821638704092425,0.11573727492218024,0.2016293849346243,17.77,0.5,0.13,0.07
DIEGO,matrix_32_ext_0_1,3,det_13_technical_fit,0.21690929814840987,0.08722509931150343,0.21128852894709807,17.32,0.56,0.13,0.05
DIEGO,matrix_32_ext_0_1,3,det_11_knowledge,0.21391231680756892,0.10462425129510297,0.19520098205673825,18.06,0.45,0.14,0.05
DIEGO,matrix_32_ext_0_1,3,det_06_climate_protection,0.21321400059936263,0.097232781772949,0.20158913464139788,17.82,0.52,0.17,0.04
DIEGO,matrix_32_ext_0_1,3,det_03_risk_profile,0.21224324291030497,0.10387913102723946,0.19651180517377168,18.19,0.49,0.17,0.05
DIEGO,matrix_32_ext_0_1,3,det_30_authority,0.20976423909136224,0.0912865058719682,0.20312391927190412,17.48,0.52,0.14,0.03
DIEGO,matrix_32_ext_0_1,3,det_22_peer_pressure,0.2087834026855825,0.10437239328871244,0.18466884953047077,18.39,0.43,0.19,0.06
DIEGO,matrix_32_ext_0_1,3,det_12_own_competence,0.20809368349985938,0.09132338817794451,0.19853124188331078,18.14,0.49,0.12,0.05
DIEGO,matrix_32_ext_0_1,3,det_27_fun,0.19907511057913452,0.0975207380585714,0.18398932828760262,18.94,0.45,0.15,0.04
DIEGO,matrix_32_ext_0_1,3,det_18_autonomy,0.19839297265699937,0.09050524802193774,0.1854907167221299,18.83,0.45,0.15,0.01
DIEGO,matrix_32_ext_0_1,4,det_20_coziness,0.28736485247473736,0.1331392907973157,0.26835136895366973,14.21,0.72,0.38,0.17
