analysis_sample,matrix_name,n_factors,d_det,determinant,n_selected,n_valid_bootstraps,prop_bootstraps_selected
DIEGO,matrix_32_ext_0_1,2,4,det_14_environmental_concerns,22,100,0.22
DIEGO,matrix_32_ext_0_1,2,4,det_32_own_significance,19,100,0.19
DIEGO,matrix_32_ext_0_1,2,4,det_17_adherence,18,100,0.18
DIEGO,matrix_32_ext_0_1,2,4,det_25_agreement,18,100,0.18
DIEGO,matrix_32_ext_0_1,2,4,det_31_approval,18,100,0.18
DIEGO,matrix_32_ext_0_1,2,4,det_01_profits,17,100,0.17
DIEGO,matrix_32_ext_0_1,2,4,det_04_added_value,17,100,0.17
DIEGO,matrix_32_ext_0_1,2,4,det_15_self_satisfaction,17,100,0.17
DIEGO,matrix_32_ext_0_1,2,4,det_07_legal,16,100,0.16
DIEGO,matrix_32_ext_0_1,2,4,det_28_recognition,16,100,0.16
DIEGO,matrix_32_ext_0_1,2,4,det_05_frugality,15,100,0.15
DIEGO,matrix_32_ext_0_1,2,4,det_16_commitment,14,100,0.14
DIEGO,matrix_32_ext_0_1,2,4,det_23_support,14,100,0.14
DIEGO,matrix_32_ext_0_1,2,4,det_10_cost_efficiency,13,100,0.13
DIEGO,matrix_32_ext_0_1,2,4,det_11_knowledge,13,100,0.13
DIEGO,matrix_32_ext_0_1,2,4,det_20_coziness,13,100,0.13
DIEGO,matrix_32_ext_0_1,2,4,det_21_rights_and_duties,12,100,0.12
DIEGO,matrix_32_ext_0_1,2,4,det_02_credit_score,11,100,0.11
DIEGO,matrix_32_ext_0_1,2,4,det_08_trust,11,100,0.11
DIEGO,matrix_32_ext_0_1,2,4,det_09_safety,11,100,0.11
DIEGO,matrix_32_ext_0_1,2,4,det_19_wellbeing,11,100,0.11
DIEGO,matrix_32_ext_0_1,2,4,det_22_peer_pressure,11,100,0.11
DIEGO,matrix_32_ext_0_1,2,4,det_26_novelty,11,100,0.11
DIEGO,matrix_32_ext_0_1,2,4,det_30_authority,10,100,0.1
DIEGO,matrix_32_ext_0_1,2,4,det_13_technical_fit,9,100,0.09
DIEGO,matrix_32_ext_0_1,2,4,det_24_socialising,9,100,0.09
DIEGO,matrix_32_ext_0_1,2,4,det_29_trends,9,100,0.09
DIEGO,matrix_32_ext_0_1,2,4,det_12_own_competence,8,100,0.08
