analysis_sample,matrix_name,n_factors,n_runs,n_ok,n_warning,n_error,mean_n_rows_used,mean_n_unique_participants,mean_RMSR,sd_RMSR,mean_TLI,sd_TLI,mean_RMSEA,sd_RMSEA,mean_BIC,sd_BIC,mean_abs_factor_correlation,sd_abs_factor_correlation,mean_factor_distance,sd_factor_distance
DIEGO,matrix_32_ext_0_1,2,100,100,0,0,251.22,231.86,0.04167169561113633,0.0015516349310957765,0.5590006503430837,0.4448958327901271,0.01946206566105276,0.008397335117430552,-1910.319395639735,36.54878494288178,0.05813280519513435,NA,0.9418671948048657,NA
DIEGO,matrix_32_ext_0_1,3,100,100,0,0,251.22,231.86,0.03843168667526363,0.001462075976654204,0.7835025626677752,0.732992074467658,0.014642711488790478,0.009336922558003979,-1794.9111687947309,34.47484030062042,0.050053095998395566,NA,0.9499469040016044,NA
DIEGO,matrix_32_ext_0_1,4,100,100,0,0,251.22,231.86,0.03541686036473612,0.001374776792080384,1.0002946275524605,1.0062265250555398,0.009903317444160611,0.00938746124104371,-1680.6139512707798,32.05653387622976,0.04732496494848935,NA,0.9526750350515106,NA
DIEGO,matrix_32_ext_0_1,5,100,100,0,0,251.22,231.86,0.032696467832610404,0.001308106014305375,1.2120103394898512,1.3293543356649418,0.006498149627382687,0.008201774686465607,-1567.1684764732388,29.79594727281856,0.04771930540873801,NA,0.952280694591262,NA
DIEGO,matrix_32_ext_0_1,6,100,100,2,0,251.22,231.86,0.03019021353629127,0.001263709331697067,1.4421290680827914,1.7428013260849917,0.004014301639963845,0.006924396026260206,-1455.8877623902783,27.947443244002447,0.047224583957703944,NA,0.9527754160422961,NA
DIEGO,matrix_32_ext_0_1,7,100,100,4,0,251.22,231.86,0.027820223995834472,0.001191608952491327,1.6927890894827688,2.28002473137501,0.002188032605853583,0.004978226487301987,-1346.858922147517,25.947298854806238,0.046672193793819504,NA,0.9533278062061805,NA
DIEGO,matrix_32_ext_0_1,8,100,100,4,0,251.22,231.86,0.02557192703401802,0.0011537236637638784,1.9672593149850313,2.9297031973447405,9.435551982557289e-4,0.0032544096217912164,-1241.116520627842,23.877990551804764,0.04738440094865438,NA,0.9526155990513456,NA
DIEGO,matrix_32_pos_0_1,2,100,100,0,0,251.22,231.86,0.04376551247616474,0.0017065148245746535,0.6011579394464378,0.08238178398647562,0.03533917772712272,0.004821344993447056,-1819.4722555271326,38.15970873274787,0.12557371776693121,NA,0.8744262822330687,NA
DIEGO,matrix_32_pos_0_1,3,100,100,0,0,251.22,231.86,0.039601118267140474,0.0014943440702954143,0.690704013708193,0.08124854082616213,0.030870887522315843,0.005195368058675733,-1723.0206002804598,34.31247351381313,0.10988522040631299,NA,0.890114779593687,NA
DIEGO,matrix_32_pos_0_1,4,100,100,0,0,251.22,231.86,0.036189664513478,0.0014015062003105776,0.7610895505774554,0.08783944357517548,0.026728494141070744,0.006233959641611496,-1620.3867327908226,32.426827513163936,0.10009844905895188,NA,0.8999015509410482,NA
DIEGO,matrix_32_pos_0_1,5,100,100,0,0,251.22,231.86,0.03318387459712813,0.0012732270839072141,0.8221101967943998,0.09085951838074761,0.022590350574078606,0.0071524820530845055,-1515.8785345643464,29.75806461676931,0.09386801384664638,NA,0.9061319861533537,NA
DIEGO,matrix_32_pos_0_1,6,100,100,0,0,251.22,231.86,0.030390129126280124,0.0011927606963480597,0.8804986122268725,0.09809715757107643,0.017342389190923208,0.009456675465047137,-1412.1407076842188,28.23789490495405,0.08778092727265818,NA,0.9122190727273418,NA
DIEGO,matrix_32_pos_0_1,7,100,100,0,0,251.22,231.86,0.027903845338706594,0.0011655994592629003,0.929987057795498,0.10474239605925706,0.012933416991124456,0.010001932959962965,-1308.415910596061,26.52926213295722,0.08330272502056595,NA,0.9166972749794341,NA
DIEGO,matrix_32_pos_0_1,8,100,100,2,0,251.22,231.86,0.025559070217389287,0.0010461466151587872,0.9827724049253201,0.10865805880481742,0.008527186776159006,0.009492963098684646,-1207.6705132285758,23.45673119787637,0.07966239071830976,NA,0.9203376092816903,NA
DIEGO,matrix_32_raw_0_1,2,100,100,0,0,251.22,231.86,0.04403518457437831,0.0018660898176411816,0.6517412045151626,0.06847813822412391,0.03868493533601603,0.004730013369268143,-1792.6196092254554,41.14183978944319,0.14067875131908514,NA,0.8593212486809149,NA
DIEGO,matrix_32_raw_0_1,3,100,100,0,0,251.22,231.86,0.039392188701136324,0.0015972844514542035,0.7352901325075402,0.06622951667350105,0.03349672482063761,0.005179742010770114,-1705.9317659381684,37.381101464439936,0.1397523948814158,NA,0.8602476051185842,NA
DIEGO,matrix_32_raw_0_1,4,100,100,0,0,251.22,231.86,0.035728009212942134,0.0014025973205030317,0.7978487280814833,0.06612755006842803,0.028977901851893317,0.005751535490021999,-1609.105695087452,34.19298605594006,0.12806098180098546,NA,0.8719390181990145,NA
DIEGO,matrix_32_raw_0_1,5,100,100,0,0,251.22,231.86,0.03256492013419733,0.001292426598297328,0.8492075140942726,0.06812253232726688,0.02449185529536219,0.00702580383184227,-1508.0857843652175,31.736471295508156,0.11244874572544783,NA,0.8875512542745522,NA
DIEGO,matrix_32_raw_0_1,6,100,100,0,0,251.22,231.86,0.02978300447608982,0.0012155497345259893,0.8954452409221418,0.07421117073495186,0.01940630805331216,0.009001522409588748,-1406.3483068991477,30.33545974458338,0.10593625676986976,NA,0.8940637432301303,NA
DIEGO,matrix_32_raw_0_1,7,100,100,0,0,251.22,231.86,0.027199609466510066,0.0011632959108010363,0.9380230727838152,0.07932083820753688,0.014079233053587775,0.010489520784821809,-1305.100648334198,28.502072579886658,0.09998426755813834,NA,0.9000157324418616,NA
DIEGO,matrix_32_raw_0_1,8,100,100,1,0,251.22,231.86,0.024844037683794583,0.0011134253448940408,0.9778101134587108,0.08569074361121601,0.0099243059597246,0.010232972852838145,-1205.0429612361988,26.832211805432326,0.09462100348384969,NA,0.9053789965161503,NA
DIEGO,matrix_32_z_abs,2,100,100,0,0,251.22,231.86,0.04137910251751996,0.001614046973456399,0.7396951735783143,0.9112212030029051,0.017438445319271068,0.009278775105760648,-1917.5126586916256,37.49397455010251,0.05485254782868147,NA,0.9451474521713186,NA
DIEGO,matrix_32_z_abs,3,100,100,0,0,251.22,231.86,0.03822092787023957,0.0014946185274067353,1.0685712258413127,1.4872032433404594,0.012875243586471371,0.009671045985955341,-1800.5721493653862,34.32742667704456,0.05189070319407069,NA,0.9481092968059293,NA
DIEGO,matrix_32_z_abs,4,100,100,0,0,251.22,231.86,0.0353459712308562,0.00133938613282704,1.427905419216347,2.392876659680299,0.008748195404089472,0.009403299739208565,-1684.3014279716742,31.403878586834725,0.04841685033904235,NA,0.9515831496609577,NA
DIEGO,matrix_32_z_abs,5,100,100,0,0,251.22,231.86,0.03269149574781785,0.0012127531643736146,1.9331386009022051,4.452499709610147,0.005640691276086613,0.008183529044953487,-1569.9366703754408,28.50235343229415,0.04720146150601294,NA,0.9527985384939871,NA
DIEGO,matrix_32_z_abs,6,100,100,2,0,251.22,231.86,0.030201781383727158,0.001135143633096284,3.1253544298792537,12.52608440210796,0.003572278909548695,0.006809741900323432,-1457.8037443552482,26.404924206860002,0.04587221051309427,NA,0.9541277894869057,NA
DIEGO,matrix_32_z_abs,7,100,100,2,0,251.22,231.86,0.02785301220915658,0.0010632434822305185,0.47082447849199366,20.369657634118575,0.0020640110345103305,0.005300847300727614,-1348.4488469042358,24.500642091854804,0.046515013387515715,NA,0.9534849866124843,NA
DIEGO,matrix_32_z_abs,8,100,100,3,0,251.22,231.86,0.025616412748953758,0.001008924397046739,3.5627697940199403,19.920145863772724,0.0010502916899357852,0.0038738856966457793,-1242.3969007582014,22.333343475525194,0.04649672519126544,NA,0.9535032748087345,NA
