"","FINANCIAL","SECURITY","COMPETENCE","AUTONOMY","PHYSICALNESS","RELATEDNESS","STIMULATION","POPULARITY","MEANING"
"Early.Adopter",0.2,0,0.2,0,0,0.2,0.999999999,1,0.5
"Uninterested",0,0.5,0.2,0.25,1,0.4,0,0,0
"Homo.Economicus",1,0.75,0.6,0,0,0,0,0,0
"Fearful",0.6,0.75,0.6,0.25,1,0.2,0,0,0.5
"Stubborn",0.2,0.25,0.6,0.75,0,0,0,0,0.5
"Influencer",0.2,0,0.2,0,0,1,0,1,0.5
"Careful",0.4,0.5,0.6,1,1,0.2,0,0,0.5
