"determinante","n_clusters"
"PROFITS",1
"CREDIT.SCORE",2
"RISK.PROFILE",1
"ADDED.VALUE",1
"FRUGALITY",1
"CLIMATE.PROTECTION",1
"LEGAL",1
"TRUST",1
"SAFETY",1
"COST.EFFICIENCY",2
"KNOWLEDGE",1
"OWN.COMPETENCE",1
"TECHNICAL.FIT",1
"ENVIRONMENTAL.CONCERNS",2
"SELF.SATISFACTION",2
"COMMITMENT",2
"ADHERENCE",1
"AUTARKY",1
"WELLBEING",1
"COZINESS",1
"RIGHTS.AND.DUTIES",1
"PEER.PRESSURE",1
"SUPPORT",0
"SOCIALISING",1
"AGREEMENT",1
"NOVELTY",1
"FUN",1
"RECOGNITION",1
"TRENDS",2
"AUTHORITY",0
"OWN.SIGNIFICANCE",1
"APPROVAL",1
