consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_28_recognition,100,1,0.7246971580968875
1,det_24_socialising,100,1,0.629152375242461
1,det_30_authority,100,1,0.600884561718011
1,det_31_approval,99,0.99,0.7675611707514315
1,det_29_trends,99,0.99,0.5595217608596477
1,det_27_fun,82,0.82,0.38659940857771524
1,det_22_peer_pressure,63,0.63,0.3368905881660652
1,det_26_novelty,59,0.59,0.319174399145517
2,det_22_peer_pressure,55,0.55,0.2846385356581601
2,det_25_agreement,54,0.54,0.26369178743025934
2,det_13_technical_fit,54,0.54,0.25845598954553284
2,det_18_autonomy,52,0.52,0.2569001600825123
2,det_16_commitment,52,0.52,0.2512458064906072
2,det_32_own_significance,47,0.47,0.24326328142086381
2,det_12_own_competence,40,0.4,0.2192769297634506
2,det_26_novelty,37,0.37,0.20740860798387542
3,det_20_coziness,96,0.96,0.6668578243042479
3,det_19_wellbeing,94,0.94,0.6919025220400903
3,det_09_safety,92,0.92,0.4657598763422846
3,det_27_fun,64,0.64,0.2694909485029537
3,det_15_self_satisfaction,43,0.43,0.21913135936552028
3,det_25_agreement,40,0.4,0.2161915506301371
3,det_16_commitment,34,0.34,0.18944221329764613
3,det_18_autonomy,33,0.33,0.18491800616378648
4,det_21_rights_and_duties,87,0.87,0.5701255719699736
4,det_07_legal,84,0.84,0.5433512145501769
4,det_08_trust,65,0.65,0.28442125057974477
4,det_03_risk_profile,57,0.57,0.24670600830507733
4,det_13_technical_fit,53,0.53,0.24963241770249378
4,det_17_adherence,50,0.5,0.24056866081085476
4,det_10_cost_efficiency,48,0.48,0.21785550919317875
4,det_11_knowledge,34,0.34,0.19574848859357785
5,det_01_profits,93,0.93,0.5352373611698079
5,det_05_frugality,89,0.89,0.5092860726891341
5,det_10_cost_efficiency,87,0.87,0.4619343426929465
5,det_03_risk_profile,79,0.79,0.3989530755952801
5,det_18_autonomy,64,0.64,0.28827379116248386
5,det_02_credit_score,44,0.44,0.225360822803844
5,det_13_technical_fit,41,0.41,0.24328556303114535
5,det_15_self_satisfaction,41,0.41,0.23279380268806163
6,det_14_environmental_concerns,99,0.99,0.6143127688255463
6,det_06_climate_protection,98,0.98,0.6476120089795582
6,det_04_added_value,97,0.97,0.5432283882717525
6,det_23_support,94,0.94,0.5204240801521584
6,det_32_own_significance,78,0.78,0.3953850064619748
6,det_01_profits,56,0.56,0.261612081933313
6,det_16_commitment,41,0.41,0.22422023188351095
6,det_11_knowledge,28,0.28,0.1902288131395714
