"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",3,"COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_3",3,"STIMULATION; POPULARITY; MEANING"
"cluster_4",3,"SECURITY; COMPETENCE; POPULARITY"
"cluster_5",3,"FINANCIAL; AUTONOMY; STIMULATION"
"cluster_6",3,"PHYSICALNESS; RELATEDNESS; POPULARITY"
"cluster_7",3,"FINANCIAL; SECURITY; PHYSICALNESS"
