comparison_region,subsample,n_input,n_output,same_n
EUROPE,DIEGO,1899,1899,TRUE
EUROPE,RENOVISOR,1229,1229,TRUE
EUROPE,WHY_EUROPE,990,990,TRUE
LATAM,WHY_LATAM,638,638,TRUE
