phase_prefix,phase_label,source_column,dataset_source,source_survey,n_rows,n_valid_raw,prop_valid_raw
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,rv,energy_crisis,107,0,0
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,rv,energy_crisis;poverty,4,0,0
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,rv,poverty,38,0,0
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you,why,Investment_Arquetypes_2022,1628,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,diego,Survey_September2023_cleaned,1899,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,concerns2,100,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,concerns2;decision,16,10,0.625
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,concerns2;decision;energy_crisis;poverty,10,7,0.7
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,concerns2;decision;poverty,12,9,0.75
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,concerns2;energy_crisis,4,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,concerns2;energy_crisis;poverty,14,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,concerns2;poverty,4,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,decision,902,594,0.6585365853658537
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,decision;energy_crisis,10,6,0.6
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,decision;energy_crisis;poverty,7,5,0.7142857142857143
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,decision;poverty,1,1,1
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,energy_crisis,107,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,energy_crisis;poverty,4,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,rv,poverty,38,0,0
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1,why,Investment_Arquetypes_2022,1628,0,0
