phase_prefix,dimension,comparison_region,subsample,n_rows,n_selected,prop_selected_total
phase_implemented_reasons,FINANCIAL,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,SECURITY,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,COMPETENCE,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,AUTONOMY,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,PHYSIOLOGICAL,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,RELATEDNESS,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,STIMULATION,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,POPULARITY,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,MEANING,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,FINANCIAL,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,SECURITY,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,COMPETENCE,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,AUTONOMY,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,PHYSIOLOGICAL,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,RELATEDNESS,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,STIMULATION,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,POPULARITY,EUROPE,DIEGO,1899,0,0
phase_more_likely_1,MEANING,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,FINANCIAL,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,SECURITY,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,COMPETENCE,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,AUTONOMY,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,PHYSIOLOGICAL,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,RELATEDNESS,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,STIMULATION,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,POPULARITY,EUROPE,DIEGO,1899,0,0
phase_more_likely_2,MEANING,EUROPE,DIEGO,1899,0,0
phase_implemented_reasons,FINANCIAL,EUROPE,RENOVISOR,1229,549,0.4467046379170057
phase_implemented_reasons,MEANING,EUROPE,RENOVISOR,1229,299,0.24328722538649308
phase_implemented_reasons,AUTONOMY,EUROPE,RENOVISOR,1229,267,0.21724979658258747
phase_implemented_reasons,PHYSIOLOGICAL,EUROPE,RENOVISOR,1229,229,0.18633034987794955
phase_implemented_reasons,SECURITY,EUROPE,RENOVISOR,1229,186,0.15134255492270138
phase_implemented_reasons,COMPETENCE,EUROPE,RENOVISOR,1229,168,0.13669650122050447
phase_implemented_reasons,STIMULATION,EUROPE,RENOVISOR,1229,89,0.07241659886086249
phase_implemented_reasons,POPULARITY,EUROPE,RENOVISOR,1229,48,0.03905614320585842
phase_implemented_reasons,RELATEDNESS,EUROPE,RENOVISOR,1229,46,0.03742880390561432
phase_more_likely_1,FINANCIAL,EUROPE,RENOVISOR,1229,622,0.5061025223759154
phase_more_likely_1,AUTONOMY,EUROPE,RENOVISOR,1229,294,0.23921887713588283
phase_more_likely_1,MEANING,EUROPE,RENOVISOR,1229,293,0.23840520748576077
phase_more_likely_1,SECURITY,EUROPE,RENOVISOR,1229,246,0.2001627339300244
phase_more_likely_1,PHYSIOLOGICAL,EUROPE,RENOVISOR,1229,210,0.1708706265256306
phase_more_likely_1,COMPETENCE,EUROPE,RENOVISOR,1229,191,0.15541090317331163
phase_more_likely_1,STIMULATION,EUROPE,RENOVISOR,1229,111,0.09031733116354759
phase_more_likely_1,POPULARITY,EUROPE,RENOVISOR,1229,47,0.03824247355573637
phase_more_likely_1,RELATEDNESS,EUROPE,RENOVISOR,1229,46,0.03742880390561432
phase_more_likely_2,FINANCIAL,EUROPE,RENOVISOR,1229,455,0.37021969080553296
phase_more_likely_2,AUTONOMY,EUROPE,RENOVISOR,1229,228,0.1855166802278275
phase_more_likely_2,MEANING,EUROPE,RENOVISOR,1229,219,0.17819365337672904
phase_more_likely_2,SECURITY,EUROPE,RENOVISOR,1229,208,0.16924328722538648
phase_more_likely_2,COMPETENCE,EUROPE,RENOVISOR,1229,163,0.13262815296989422
phase_more_likely_2,PHYSIOLOGICAL,EUROPE,RENOVISOR,1229,153,0.12449145646867373
phase_more_likely_2,STIMULATION,EUROPE,RENOVISOR,1229,87,0.07078925956061839
phase_more_likely_2,RELATEDNESS,EUROPE,RENOVISOR,1229,55,0.044751830756712775
phase_more_likely_2,POPULARITY,EUROPE,RENOVISOR,1229,26,0.02115541090317331
phase_implemented_reasons,FINANCIAL,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,SECURITY,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,COMPETENCE,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,AUTONOMY,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,PHYSIOLOGICAL,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,RELATEDNESS,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,STIMULATION,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,POPULARITY,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,MEANING,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,FINANCIAL,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,SECURITY,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,COMPETENCE,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,AUTONOMY,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,PHYSIOLOGICAL,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,RELATEDNESS,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,STIMULATION,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,POPULARITY,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_1,MEANING,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,FINANCIAL,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,SECURITY,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,COMPETENCE,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,AUTONOMY,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,PHYSIOLOGICAL,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,RELATEDNESS,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,STIMULATION,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,POPULARITY,EUROPE,WHY_EUROPE,990,0,0
phase_more_likely_2,MEANING,EUROPE,WHY_EUROPE,990,0,0
phase_implemented_reasons,FINANCIAL,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,SECURITY,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,COMPETENCE,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,AUTONOMY,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,PHYSIOLOGICAL,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,RELATEDNESS,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,STIMULATION,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,POPULARITY,LATAM,WHY_LATAM,638,0,0
phase_implemented_reasons,MEANING,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,FINANCIAL,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,SECURITY,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,COMPETENCE,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,AUTONOMY,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,PHYSIOLOGICAL,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,RELATEDNESS,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,STIMULATION,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,POPULARITY,LATAM,WHY_LATAM,638,0,0
phase_more_likely_1,MEANING,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,FINANCIAL,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,SECURITY,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,COMPETENCE,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,AUTONOMY,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,PHYSIOLOGICAL,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,RELATEDNESS,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,STIMULATION,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,POPULARITY,LATAM,WHY_LATAM,638,0,0
phase_more_likely_2,MEANING,LATAM,WHY_LATAM,638,0,0
