phase_prefix,phase_label,source_column
phase_implemented_reasons,Reasons that led to implement or contract the selected technology,rv_decision__what_were_the_reasons_that_led_you_to_implement_or_contract_the_selected_technology_or_energy_related_measure_please_select_the_3_most_important_for_you
phase_more_likely_1,What would make respondent more likely to implement or contract this technology - branch 1,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you
phase_more_likely_2,What would make respondent more likely to implement or contract this technology - branch 2,rv_decision__what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1
