comparison_region,subsample,dataset_source,source_survey,score_variable,n_rows,n_valid_score,prop_valid_score,mean_score,sd_score,min_score,max_score
EUROPE,DIEGO,diego,Survey_September2023_cleaned,phase_implemented_reasons_selected_dimension_score_mean,1899,0,0,NA,NA,NA,NA
EUROPE,DIEGO,diego,Survey_September2023_cleaned,phase_more_likely_1_selected_dimension_score_mean,1899,0,0,NA,NA,NA,NA
EUROPE,DIEGO,diego,Survey_September2023_cleaned,phase_more_likely_2_selected_dimension_score_mean,1899,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2,phase_implemented_reasons_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2,phase_more_likely_1_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2,phase_more_likely_2_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;decision,phase_implemented_reasons_selected_dimension_score_mean,16,15,0.9375,71.24251119251117,9.12249381559993,56.3333333333333,86.14285714285708
EUROPE,RENOVISOR,rv,concerns2;decision,phase_more_likely_1_selected_dimension_score_mean,16,13,0.8125,73.05071851225696,8.81472564106719,58,93
EUROPE,RENOVISOR,rv,concerns2;decision,phase_more_likely_2_selected_dimension_score_mean,16,10,0.625,68.42773504273504,15.96893702276949,36.66666666666669,92.2
EUROPE,RENOVISOR,rv,concerns2;decision;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,10,10,1,76.10166666666667,12.870102328677014,48.3,95.6666666666667
EUROPE,RENOVISOR,rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,10,8,0.8,73.66969696969696,11.139899812573985,50,88.1
EUROPE,RENOVISOR,rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,10,7,0.7,70.37380952380953,11.988682383440032,54.1,86.6
EUROPE,RENOVISOR,rv,concerns2;decision;poverty,phase_implemented_reasons_selected_dimension_score_mean,12,9,0.75,70.91946479446479,9.914979014912786,56.12500000000001,85.71428571428571
EUROPE,RENOVISOR,rv,concerns2;decision;poverty,phase_more_likely_1_selected_dimension_score_mean,12,6,0.5,70.7517094017094,9.200637775776375,60.8333333333333,83.5
EUROPE,RENOVISOR,rv,concerns2;decision;poverty,phase_more_likely_2_selected_dimension_score_mean,12,9,0.75,68.27385392385393,9.511662999212016,56.416666666666686,82.09090909090911
EUROPE,RENOVISOR,rv,concerns2;energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;energy_crisis,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;energy_crisis,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;poverty,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;poverty,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,concerns2;poverty,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,decision,phase_implemented_reasons_selected_dimension_score_mean,902,734,0.8137472283813747,67.98649905952358,12.236643828217874,0,100
EUROPE,RENOVISOR,rv,decision,phase_more_likely_1_selected_dimension_score_mean,902,767,0.8503325942350333,67.41571220319591,12.12797852663554,0,100
EUROPE,RENOVISOR,rv,decision,phase_more_likely_2_selected_dimension_score_mean,902,592,0.656319290465632,67.36256450943951,12.958500495715624,0,100
EUROPE,RENOVISOR,rv,decision;energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,10,8,0.8,79.57727272727273,16.146614897106,59.25,100
EUROPE,RENOVISOR,rv,decision;energy_crisis,phase_more_likely_1_selected_dimension_score_mean,10,8,0.8,69.21180555555556,13.838383867184621,55.3333333333333,100
EUROPE,RENOVISOR,rv,decision;energy_crisis,phase_more_likely_2_selected_dimension_score_mean,10,6,0.6,68.23842592592592,13.828609235377701,58.8888888888889,91.62499999999999
EUROPE,RENOVISOR,rv,decision;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,7,6,0.8571428571428571,70.42786195286195,14.836489659190683,42.444444444444386,83.25
EUROPE,RENOVISOR,rv,decision;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,7,6,0.8571428571428571,64.34345238095239,18.426511570464516,27,75
EUROPE,RENOVISOR,rv,decision;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,7,5,0.7142857142857143,77.03021978021978,6.64383587896115,69.2857142857143,84.61538461538458
EUROPE,RENOVISOR,rv,decision;poverty,phase_implemented_reasons_selected_dimension_score_mean,1,1,1,57.85714285714289,NA,57.85714285714289,57.85714285714289
EUROPE,RENOVISOR,rv,decision;poverty,phase_more_likely_1_selected_dimension_score_mean,1,1,1,56.1111111111111,NA,56.1111111111111,56.1111111111111
EUROPE,RENOVISOR,rv,decision;poverty,phase_more_likely_2_selected_dimension_score_mean,1,1,1,74.37499999999999,NA,74.37499999999999,74.37499999999999
EUROPE,RENOVISOR,rv,energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,energy_crisis,phase_more_likely_1_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,energy_crisis,phase_more_likely_2_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,poverty,phase_implemented_reasons_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,poverty,phase_more_likely_1_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
EUROPE,RENOVISOR,rv,poverty,phase_more_likely_2_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
EUROPE,WHY_EUROPE,why,Investment_Arquetypes_2022,phase_implemented_reasons_selected_dimension_score_mean,990,0,0,NA,NA,NA,NA
EUROPE,WHY_EUROPE,why,Investment_Arquetypes_2022,phase_more_likely_1_selected_dimension_score_mean,990,0,0,NA,NA,NA,NA
EUROPE,WHY_EUROPE,why,Investment_Arquetypes_2022,phase_more_likely_2_selected_dimension_score_mean,990,0,0,NA,NA,NA,NA
LATAM,WHY_LATAM,why,Investment_Arquetypes_2022,phase_implemented_reasons_selected_dimension_score_mean,638,0,0,NA,NA,NA,NA
LATAM,WHY_LATAM,why,Investment_Arquetypes_2022,phase_more_likely_1_selected_dimension_score_mean,638,0,0,NA,NA,NA,NA
LATAM,WHY_LATAM,why,Investment_Arquetypes_2022,phase_more_likely_2_selected_dimension_score_mean,638,0,0,NA,NA,NA,NA
