"","FINANCIAL","SECURITY","COMPETENCE","AUTONOMY","PHYSICALNESS","RELATEDNESS","STIMULATION","POPULARITY","MEANING"
"Early Adopter",0,0,0,0,0,0,0,0,0
"Uninterested",0,0,0,0,0,0,0,0,0
"Homo Economicus",0,0,0,0,0,0,0,0,0
"Fearful",0,0,0,0,0,0,0,0,0
"Stubborn",0,0,0,0,0,0,0,0,0
"Influencer",0,0,0,0,0,0,0,0,0
"Careful",0,0,0,0,0,0,0,0,0
"Activist",0,0,0,0,0,0,0,0,0
