"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",3304940,41.31175
2,"Stubborn",48865,0.6108125
3,"Fearful",92,0.00115
4,"Cluster8",0,0
5,"Early.Adopter",0,0
6,"Homo.Economicus",0,0
7,"Influencer",0,0
8,"Uninterested",0,0
