consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_27_fun,84,0.84,0.30507506463027817
1,det_32_own_significance,84,0.84,0.292144858630472
1,det_26_novelty,79,0.79,0.2502013394325039
1,det_25_agreement,63,0.63,0.18566928681582529
1,det_02_credit_score,47,0.47,0.1727233449392677
1,det_01_profits,37,0.37,0.132492675918638
1,det_05_frugality,36,0.36,0.13468915099417825
1,det_18_autonomy,32,0.32,0.12392385635245964
2,det_31_approval,100,1,0.5589289368828548
2,det_24_socialising,100,1,0.5051491461271196
2,det_30_authority,100,1,0.4369338636647906
2,det_22_peer_pressure,100,1,0.38184319429013797
2,det_28_recognition,99,0.99,0.5070107375236327
2,det_29_trends,99,0.99,0.34789505060529147
2,det_27_fun,67,0.67,0.20057630694459988
2,det_26_novelty,39,0.39,0.1570501962576566
3,det_06_climate_protection,100,1,0.6728382476203177
3,det_23_support,100,1,0.3017902091764621
3,det_14_environmental_concerns,99,0.99,0.625174399597817
3,det_04_added_value,95,0.95,0.2192707508992184
3,det_17_adherence,67,0.67,0.11663718375449147
3,det_32_own_significance,61,0.61,0.1081949662546235
3,det_08_trust,36,0.36,0.08523687720812906
3,det_07_legal,28,0.28,0.08134181056971751
4,det_05_frugality,79,0.79,0.2832286172653562
4,det_19_wellbeing,78,0.78,0.3748606578925469
4,det_20_coziness,74,0.74,0.37593236080958264
4,det_09_safety,72,0.72,0.3106102756539402
4,det_10_cost_efficiency,70,0.7,0.29502677248801373
4,det_03_risk_profile,67,0.67,0.2336976394704977
4,det_01_profits,65,0.65,0.2387193625044772
4,det_13_technical_fit,55,0.55,0.1906626445434109
5,det_16_commitment,96,0.96,0.40999564941445027
5,det_15_self_satisfaction,93,0.93,0.34008965572092725
5,det_11_knowledge,90,0.9,0.3564774441961615
5,det_17_adherence,71,0.71,0.23943183783926753
5,det_13_technical_fit,61,0.61,0.21410211812490418
5,det_18_autonomy,61,0.61,0.21298119456704354
5,det_12_own_competence,56,0.56,0.209824161648916
5,det_10_cost_efficiency,48,0.48,0.1806599688481704
6,det_07_legal,69,0.69,0.2876057502806427
6,det_02_credit_score,65,0.65,0.20049709693749554
6,det_21_rights_and_duties,62,0.62,0.2412172262022537
6,det_09_safety,51,0.51,0.1961030991036062
6,det_01_profits,47,0.47,0.17153059804972245
6,det_03_risk_profile,45,0.45,0.1568085889442019
6,det_20_coziness,41,0.41,0.18350204450245852
6,det_04_added_value,36,0.36,0.14123784755035726
