variable,category,n,percentage
generación,Boomers +,105,27.1
generación,Generación X,103,26.6
generación,Generación Z,36,9.3
generación,Millennials,143,37
género,Hombre,192,49.5
género,Mujer,192,49.5
género,Otro / Prefiere no decirlo,4,1
país,Alemania,24,6.1
país,Austria,2,0.5
país,Bulgaria,3,0.8
país,Bélgica,7,1.8
país,Dinamarca,4,1
país,Eslovaquia,4,1
país,Eslovenia,4,1
país,España,186,47
país,Estonia,4,1
país,Finlandia,4,1
país,Francia,25,6.3
país,Grecia,5,1.3
país,Hungría,4,1
país,Irlanda,3,0.8
país,Italia,27,6.8
país,Letonia,4,1
país,Lituania,1,0.3
país,Luxemburgo,1,0.3
país,Noruega,2,0.5
país,Países Bajos,11,2.8
país,Polonia,26,6.6
país,Portugal,4,1
país,Reino Unido,25,6.3
país,República Checa,5,1.3
país,Rumanía,8,2
país,Suecia,3,0.8
región europea,Europa Occidental,70,17.7
región europea,Europa del Este,50,12.6
región europea,Europa del Norte,50,12.6
región europea,Europa del Sur,226,57.1
tamaño de ciudad,Aldea o núcleo rural (<1.000 hab.),34,8.4
tamaño de ciudad,Ciudad grande (500.000-1.000.000 hab.),45,11.2
tamaño de ciudad,Ciudad mediana (250.000-500.000 hab.),57,14.1
tamaño de ciudad,Ciudad pequeña (50.000-250.000 hab.),77,19.1
tamaño de ciudad,Metrópolis (>1.000.000 hab.),39,9.7
tamaño de ciudad,Municipio mediano (10.000-50.000 hab.),92,22.8
tamaño de ciudad,Municipio pequeño (1.000-10.000 hab.),59,14.6
zona climática,Clima cálido/mediterráneo,160,39.7
zona climática,Clima frío/polar,17,4.2
zona climática,Clima templado,226,56.1
situación laboral,Empleado/a,290,74.6
situación laboral,Estudiante,30,7.7
situación laboral,Otra situación laboral,69,17.7
nivel educativo,No universitaria,93,23.9
nivel educativo,Universitaria,296,76.1
trabajo/estudio desde casa,No,156,41.3
trabajo/estudio desde casa,Sí,222,58.7
tipo de hogar,Hogar con hijos,172,45.1
tipo de hogar,Otros,83,21.8
tipo de hogar,Pareja sin hijos,126,33.1
régimen de tenencia,No propietarios,102,25.8
régimen de tenencia,Propiedad con hipoteca,109,27.5
régimen de tenencia,Propiedad sin hipoteca,185,46.7
orientación política,Centro,73,19.1
orientación política,Derecha,29,7.6
orientación política,Extrema derecha,6,1.6
orientación política,Extrema izquierda,145,37.9
orientación política,Izquierda,130,33.9
tipo de voto,No vota / blanco / nulo,39,9.9
tipo de voto,Otras opciones,31,7.9
tipo de voto,Partidos nacionales,70,17.8
tipo de voto,Partidos regionalistas/independentistas,108,27.5
tipo de voto,Voto variable según candidato/programa,145,36.9
encuesta de origen,concerns1,12,3
encuesta de origen,decision,385,95.5
encuesta de origen,rvs,6,1.5
tipo de identificador,prolific,195,48.4
tipo de identificador,sin_identificador,208,51.6
