generation_pyramid,gender,n,percentage
"Boomers + generación silenciosa
(56+)",Hombre,74,19.4
"Boomers + generación silenciosa
(56+)",Mujer,30,7.9
"Generación X
(41-55)",Hombre,56,14.7
"Generación X
(41-55)",Mujer,44,11.5
"Generación Z
(19-25)",Hombre,11,2.9
"Generación Z
(19-25)",Mujer,25,6.6
"Millennials
(26-40)",Hombre,49,12.9
"Millennials
(26-40)",Mujer,92,24.1
