participant_id,year_of_birth,age,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation,vote_type,source_survey,identifier_type,row_quality,self_response_raw,self_profile,country_group,climate_zone_3,employment_3
PROLIFIC_6a229a11e392c08625a712bd,1988,38,Millennials,Female,Bulgaria,Eastern Europe,"Large city (500,000-1,000,000 inhabitants)",Warm/Mediterranean climate,Employed,University education,No,Other,Homeowner without mortgage,Centre,Does not vote / blank / null vote,Decision survey,Prolific ID,usable,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,Other European country,Warm/Mediterranean climate,Employed
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,28,Millennials,Female,Lithuania,Northern Europe,"Metropolis (>1,000,000 inhabitants)",Temperate climate,Employed,University education,No,Couple without children,Homeowner without mortgage,Centre,Variable vote depending on candidate/programme,Decision survey,Prolific ID,usable,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Careful,Other European country,Temperate climate,Employed
PROLIFIC_69249f2bf89992510c44179e,NA,NA,NA,Female,Czech Republic,Eastern Europe,"Metropolis (>1,000,000 inhabitants)",Temperate climate,Employed,University education,Yes,Couple without children,Non-homeowner,Left,Variable vote depending on candidate/programme,Decision survey,Prolific ID,attention_check_fallido,I am more likely to invest if it improves my safety or that of my household.,Fearful,Other European country,Temperate climate,Employed
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,28,Millennials,Female,Denmark,Northern Europe,"Large city (500,000-1,000,000 inhabitants)",Temperate climate,Employed,University education,No,Other,Non-homeowner,Far left,Variable vote depending on candidate/programme,Decision survey,Prolific ID,usable,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Careful,Other European country,Temperate climate,Employed
PROLIFIC_6a229bc24afaa132a0944070,1989,37,Millennials,Female,Bulgaria,Eastern Europe,"Metropolis (>1,000,000 inhabitants)",Temperate climate,Employed,University education,No,Household with children,Homeowner without mortgage,Right,Other options,Decision survey,Prolific ID,attention_check_fallido,I am more likely to invest if it improves my safety or that of my household.,Fearful,Other European country,Temperate climate,Employed
PROLIFIC_5f2dcc4c7989510ff7699cab,1995,31,Millennials,Female,Denmark,Northern Europe,"Large city (500,000-1,000,000 inhabitants)",Temperate climate,Student,University education,Yes,Couple without children,Non-homeowner,Left,Variable vote depending on candidate/programme,Decision survey,Prolific ID,usable,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Careful,Other European country,Temperate climate,Student
PROLIFIC_661581f5ba8868414baed7ca,2004,22,Generation Z,Female,Slovakia,Eastern Europe,"Small town (1,000-10,000 inhabitants)",Temperate climate,Employed,Non-university education,Yes,Household with children,Homeowner without mortgage,Far left,Variable vote depending on candidate/programme,Decision survey,Prolific ID,attention_check_fallido,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,Other European country,Temperate climate,Employed
PROLIFIC_5aeb24e22bd17300018779f2,1994,32,Millennials,Female,Estonia,Northern Europe,"Medium-sized city (250,000-500,000 inhabitants)",Temperate climate,Employed,University education,Yes,Other,Non-homeowner,Far left,National parties,Decision survey,Prolific ID,usable,"I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",Uninterested,Other European country,Temperate climate,Employed
PROLIFIC_6597f6dc6f784e1f69bfadfa,2004,22,Generation Z,Female,Slovakia,Eastern Europe,"Town (10,000-50,000 inhabitants)",Temperate climate,Employed,Non-university education,No,Household with children,Homeowner without mortgage,Far left,National parties,Decision survey,Prolific ID,attention_check_fallido,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Careful,Other European country,Temperate climate,Employed
PROLIFIC_698b10e112e204e2d1f0c126,1992,34,Millennials,Female,Finland,Northern Europe,"Medium-sized city (250,000-500,000 inhabitants)",Cold/Polar climate,Student,University education,Yes,Other,Non-homeowner,NA,Variable vote depending on candidate/programme,Decision survey,Prolific ID,usable,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Careful,Other European country,Cold/Polar climate,Student
PROLIFIC_6a22e126f41c2f91aaf90b28,2006,20,Generation Z,Female,Slovakia,Eastern Europe,"Small city (50,000-250,000 inhabitants)",Temperate climate,Student,Non-university education,Yes,Household with children,Homeowner without mortgage,Far left,Variable vote depending on candidate/programme,Decision survey,Prolific ID,usable,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,Homo economicus,Other European country,Temperate climate,Student
PROLIFIC_697b4452d0057be21360d8d6,1986,40,Millennials,Female,Sweden,Northern Europe,"Metropolis (>1,000,000 inhabitants)",Cold/Polar climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Centre,Variable vote depending on candidate/programme,Decision survey,Prolific ID,usable,I am more likely to invest if it improves my safety or that of my household.,Fearful,Other European country,Cold/Polar climate,Employed
PROLIFIC_604dedd2805fe682c5bc51c0,1984,42,Generation X,Female,Hungary,Eastern Europe,"Metropolis (>1,000,000 inhabitants)",Temperate climate,Employed,University education,Yes,Couple without children,Non-homeowner,Right,Variable vote depending on candidate/programme,Decision survey,Prolific ID,attention_check_fallido,NA,NA,Other European country,Temperate climate,Employed
PROLIFIC_5d1f54b95538e6001a843293,1983,43,Generation X,Female,Belgium,Western Europe,"Small city (50,000-250,000 inhabitants)",Temperate climate,Employed,University education,Yes,Household with children,Homeowner with mortgage,Far left,Other options,Decision survey,Prolific ID,usable,I am more likely to invest if it helps reduce my environmental impact.,Activist,Other European country,Temperate climate,Employed
PROLIFIC_69a6fd75a40ab271c0a54fd7,1983,43,Generation X,Female,Romania,Eastern Europe,"Small city (50,000-250,000 inhabitants)",Temperate climate,Employed,University education,Yes,Other,Non-homeowner,Far left,Variable vote depending on candidate/programme,Decision survey,Prolific ID,usable,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,Careful,Other European country,Temperate climate,Employed
PROLIFIC_69932173fe3deef35c4f7e70,1990,36,Millennials,Female,Luxembourg,Western Europe,"Small city (50,000-250,000 inhabitants)",Temperate climate,Employed,University education,Yes,Other,Homeowner without mortgage,Left,Variable vote depending on candidate/programme,Decision survey,Prolific ID,attention_check_fallido,NA,NA,Other European country,Temperate climate,Employed
