section_order,row_order,row_type,characteristic,profile_group,value
1,1,data,N participantes,Activista,71
1,1,data,N participantes,Cuidadoso/a,82
1,1,data,N participantes,Desinteresado/a,9
1,1,data,N participantes,Homo economicus,60
1,1,data,N participantes,Influyente,35
1,1,data,N participantes,Pionero,1
1,1,data,N participantes,Sensible,55
1,1,data,N participantes,Temeroso/a,68
1,1,data,N participantes,Total,403
2,1,data,"Edad, años (media (DE))",Activista,46.7 (15.6)
2,1,data,"Edad, años (media (DE))",Cuidadoso/a,34.6 (10.9)
2,1,data,"Edad, años (media (DE))",Desinteresado/a,34.4 (11.1)
2,1,data,"Edad, años (media (DE))",Homo economicus,37.5 (11.3)
2,1,data,"Edad, años (media (DE))",Influyente,53.7 (12.7)
2,1,data,"Edad, años (media (DE))",Pionero,28.0 (NA)
2,1,data,"Edad, años (media (DE))",Sensible,50.6 (13.0)
2,1,data,"Edad, años (media (DE))",Temeroso/a,46.1 (16.1)
2,1,data,"Edad, años (media (DE))",Total,43.9 (14.9)
3,0,header,Generación,Activista,
3,0,header,Generación,Cuidadoso/a,
3,0,header,Generación,Desinteresado/a,
3,0,header,Generación,Homo economicus,
3,0,header,Generación,Influyente,
3,0,header,Generación,Pionero,
3,0,header,Generación,Sensible,
3,0,header,Generación,Temeroso/a,
3,0,header,Generación,Total,
3,1,data,  Boomers +,Activista,23 (34.3%)
3,1,data,  Boomers +,Cuidadoso/a,7 (9.1%)
3,1,data,  Boomers +,Desinteresado/a,0 (0.0%)
3,1,data,  Boomers +,Homo economicus,6 (10.2%)
3,1,data,  Boomers +,Influyente,19 (54.3%)
3,1,data,  Boomers +,Pionero,0 (0.0%)
3,1,data,  Boomers +,Sensible,21 (38.2%)
3,1,data,  Boomers +,Temeroso/a,21 (31.8%)
3,1,data,  Boomers +,Total,105 (27.1%)
3,1,data,  Generación X,Activista,18 (26.9%)
3,1,data,  Generación X,Cuidadoso/a,12 (15.6%)
3,1,data,  Generación X,Desinteresado/a,3 (33.3%)
3,1,data,  Generación X,Homo economicus,12 (20.3%)
3,1,data,  Generación X,Influyente,10 (28.6%)
3,1,data,  Generación X,Pionero,0 (0.0%)
3,1,data,  Generación X,Sensible,23 (41.8%)
3,1,data,  Generación X,Temeroso/a,18 (27.3%)
3,1,data,  Generación X,Total,103 (26.6%)
3,1,data,  Generación Z,Activista,7 (10.4%)
3,1,data,  Generación Z,Cuidadoso/a,11 (14.3%)
3,1,data,  Generación Z,Desinteresado/a,2 (22.2%)
3,1,data,  Generación Z,Homo economicus,8 (13.6%)
3,1,data,  Generación Z,Influyente,0 (0.0%)
3,1,data,  Generación Z,Pionero,0 (0.0%)
3,1,data,  Generación Z,Sensible,2 (3.6%)
3,1,data,  Generación Z,Temeroso/a,6 (9.1%)
3,1,data,  Generación Z,Total,36 (9.3%)
3,1,data,  Millennials,Activista,19 (28.4%)
3,1,data,  Millennials,Cuidadoso/a,47 (61.0%)
3,1,data,  Millennials,Desinteresado/a,4 (44.4%)
3,1,data,  Millennials,Homo economicus,33 (55.9%)
3,1,data,  Millennials,Influyente,6 (17.1%)
3,1,data,  Millennials,Pionero,1 (100.0%)
3,1,data,  Millennials,Sensible,9 (16.4%)
3,1,data,  Millennials,Temeroso/a,21 (31.8%)
3,1,data,  Millennials,Total,143 (37.0%)
3,2,data,  Boomers +,Activista,23 (34.3%)
3,2,data,  Boomers +,Cuidadoso/a,7 (9.1%)
3,2,data,  Boomers +,Desinteresado/a,0 (0.0%)
3,2,data,  Boomers +,Homo economicus,6 (10.2%)
3,2,data,  Boomers +,Influyente,19 (54.3%)
