participant_id,year_of_birth,age,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation,vote_type,source_survey,identifier_type,row_quality
PROLIFIC_61034f24da19cc56177b8b59,1989,37,Millennials,Mujer,República Checa,Europa del Este,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda,Partidos nacionales,decision,prolific,usable
PROLIFIC_697b1a2669af0b3f24790e20,1993,33,Millennials,Mujer,Francia,Europa Occidental,Aldea o núcleo rural (<1.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Otro régimen,Centro,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_6a0c1bc666f7cca388e60c9c,1965,61,Boomers + generación silenciosa,Mujer,Suecia,Europa del Norte,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Otra situación laboral,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,NA,Partidos nacionales,decision,prolific,usable
PROLIFIC_698ef5093a80fcd19f394ab2,1984,42,Generación X,Mujer,Polonia,Europa del Este,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a2287e1de4099ccf09eac69,1987,39,Millennials,Mujer,Italia,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Estudiante,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Izquierda,Partidos regionalistas/independentistas,decision,prolific,usable
PROLIFIC_64edf002c925fb837ee0a770,1992,34,Millennials,Hombre,Estonia,Europa del Norte,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a06ce99e7948a2b48b807b8,1994,32,Millennials,Mujer,Italia,Europa del Sur,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,No,Vive solo/a,Propiedad con hipoteca,Izquierda,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_69f349141b7a57cdd52b671c,1998,28,Millennials,Mujer,Polonia,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Otro régimen,Extrema izquierda,Otras opciones,decision,prolific,usable
PROLIFIC_69f732a6afef1c53157db063,1979,47,Generación X,Mujer,Alemania,Europa Occidental,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a01d2282cff0f54d29e9ce9,1988,38,Millennials,Mujer,Francia,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Otra situación laboral,Universitaria,Sí,Hogar con hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_5e9c3ff1cf719d151612648f,1969,57,Boomers + generación silenciosa,Mujer,Italia,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Empleado/a,No universitaria,No,Vive solo/a,Propiedad con hipoteca,Centro,Partidos nacionales,decision,prolific,usable
PROLIFIC_5cf101ea48405a0018415d09,1974,52,Generación X,Mujer,Polonia,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,NA,NA,decision,prolific,usable
PROLIFIC_5f21ff288900cb4709dd49aa,1960,66,Boomers + generación silenciosa,Mujer,Italia,Europa del Sur,Metrópolis (>1.000.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_5d7e41aea60f7b00013cf1af,1999,27,Millennials,Mujer,Polonia,Europa del Este,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_6a204321d4201071efadc417,1987,39,Millennials,Mujer,Francia,Europa Occidental,Municipio pequeño (1.000-10.000 hab.),Clima cálido/mediterráneo,Otra situación laboral,NA,Sí,Hogar con hijos,Propiedad con hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_6976fca13dd3674fd0702a52,1984,42,Generación X,Hombre,República Checa,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a098c627878fd02b2b0766e,1994,32,Millennials,Mujer,Alemania,Europa Occidental,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_6973653f34c609a7c3420e1c,1990,36,Millennials,Mujer,Polonia,Europa del Este,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_698f1a372de6aef866bec656,1983,43,Generación X,Hombre,Polonia,Europa del Este,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69fc2d7674f4ab68ebfd7559,1967,59,Boomers + generación silenciosa,Mujer,Reino Unido,Europa del Norte,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Izquierda,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_6a19a8b91331b2d709fef8b0,2005,21,Generación Z,Mujer,Alemania,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima templado,Otra situación laboral,No universitaria,No,Hogar con hijos,Alquiler,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a005381c9f64426562d2587,1995,31,Millennials,Mujer,Polonia,Europa del Este,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69cac7e6b4b245b2c38f9112,2000,26,Millennials,Mujer,Francia,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Estudiante,Universitaria,Sí,Pareja sin hijos,Propiedad con hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69f4823b807f06208c1f8ff8,1973,53,Generación X,Mujer,Italia,Europa del Sur,Municipio pequeño (1.000-10.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda,Partidos nacionales,decision,prolific,usable
PROLIFIC_67458e548861194752950b3e,2003,23,Generación Z,Hombre,Letonia,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha,Partidos nacionales,decision,prolific,usable
PROLIFIC_69c6a6aade93df9f06f725a2,1969,57,Boomers + generación silenciosa,Mujer,Francia,Europa Occidental,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Otra situación laboral,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Izquierda,Otras opciones,decision,prolific,usable
PROLIFIC_69f3101cd619e2288f7cffa7,2002,24,Generación Z,Mujer,Italia,Europa del Sur,Metrópolis (>1.000.000 hab.),Clima cálido/mediterráneo,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_5e92267dcc3d6c553eb8c817,2001,25,Generación Z,Hombre,Polonia,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,NA,NA,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a229b5352a32f629034f221,1992,34,Millennials,Hombre,Eslovenia,Europa del Sur,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a23e0de47bc759d7dfabea7,2003,23,Generación Z,Mujer,Bélgica,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Estudiante,Universitaria,Sí,Hogar con hijos,Otro régimen,NA,No vota / blanco / nulo,decision,prolific,attention_check_fallido
PROLIFIC_6a21ea8132a0738c3116b9e0,1998,28,Millennials,Mujer,Italia,Europa del Sur,Ciudad pequeña (50.000-250.000 hab.),Clima cálido/mediterráneo,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6932b69b5d8649b7a1021ff0,2004,22,Generación Z,Hombre,Eslovaquia,Europa del Este,Municipio mediano (10.000-50.000 hab.),Clima templado,Estudiante,No universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_697f4f0f25cc7707716e04f5,2004,22,Generación Z,Hombre,Francia,Europa Occidental,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69d801b7ff73fd8726f49404,1989,37,Millennials,Mujer,Alemania,Europa Occidental,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Otra situación laboral,Universitaria,No,Pareja sin hijos,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6928b5026c84fcd91c5a7a68,1988,38,Millennials,Mujer,Francia,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a00ddf17a4ca511079ba36,2005,21,Generación Z,Mujer,Italia,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_6a22f1c96d813b77a267cc7d,1999,27,Millennials,Hombre,Italia,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Estudiante,Universitaria,Sí,Vive solo/a,Otro régimen,NA,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_6a0d86760c5c5b905946bc00,1968,58,Boomers + generación silenciosa,Mujer,Italia,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Otra situación laboral,Universitaria,No,Hogar con hijos,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_646219bb0b91a6f3327e39fb,1991,35,Millennials,Mujer,Alemania,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_6a0631964347cec04dfa71d1,1994,32,Millennials,Mujer,Polonia,Europa del Este,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a064be60a1feb17a9dfe824,1977,49,Generación X,Mujer,Reino Unido,Europa del Norte,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,No universitaria,No,Pareja sin hijos,Alquiler,Centro,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_66cc80d93247b5e14b3b7112,1995,31,Millennials,Mujer,Italia,Europa del Sur,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,Estudiante,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda,Partidos regionalistas/independentistas,decision,prolific,usable
PROLIFIC_6980bdf135e5d99f4cd191e6,1992,34,Millennials,Mujer,Rumanía,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Centro,No vota / blanco / nulo,decision,prolific,attention_check_fallido
PROLIFIC_602fe67919eaccd752eea5a5,1999,27,Millennials,Mujer,Portugal,Europa del Sur,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a10442ceffde6b06d1cef3d,1996,30,Millennials,Mujer,Reino Unido,Europa del Norte,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6470e501cc85b0287c8da951,1999,27,Millennials,Mujer,Francia,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6985f197cf1559ac62ea5dc3,1995,31,Millennials,Hombre,Francia,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vivienda compartida,Alquiler,Centro,Partidos nacionales,decision,prolific,usable
PROLIFIC_6a00c9657d955585296f7301,2006,20,Generación Z,Hombre,Francia,Europa Occidental,Municipio pequeño (1.000-10.000 hab.),Clima templado,Estudiante,No universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_5c66cc9246bfc200019044b8,1989,37,Millennials,NA,Hungría,Europa del Este,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_5e86e0a50a340d32316afe9d,1986,40,Millennials,Mujer,Letonia,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69d7f5e13c624f3ce83d2cfb,1994,32,Millennials,Hombre,Alemania,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima frío/polar,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_6a0d9e9144c2414b7e6adeda,2001,25,Generación Z,Mujer,Alemania,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,No,Vivienda compartida,Alquiler,Centro,No vota / blanco / nulo,decision,prolific,attention_check_fallido
PROLIFIC_6111037143ad4a71cf9e2852,1999,27,Millennials,Mujer,Hungría,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Otra situación laboral,Universitaria,No,Pareja sin hijos,Alquiler,Extrema izquierda,Partidos regionalistas/independentistas,decision,prolific,usable
PROLIFIC_6a25a6b9390e0020e7ef226e,2007,19,Generación Z,Mujer,Polonia,Europa del Este,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_69fb35cf0deb774f95e2f6cb,1989,37,Millennials,Mujer,Francia,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69fc88ab52f8fd41bd554aee,1965,61,Boomers + generación silenciosa,Mujer,Reino Unido,Europa del Norte,Aldea o núcleo rural (<1.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad con hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69f9f16dd6f231903e2a6b41,1997,29,Millennials,Mujer,Alemania,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima templado,Otra situación laboral,Universitaria,No,Pareja sin hijos,Alquiler,Centro,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_6a229a63b2044a3b6694cdf5,1982,44,Generación X,Mujer,Rumanía,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69de0876fb4170e1b31c0f7b,1985,41,Generación X,Hombre,Alemania,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a07318351b163db6f9887f1,1984,42,Generación X,Mujer,Italia,Europa del Sur,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69d023c8f299f5b1cc355e64,1988,38,Millennials,Mujer,Alemania,Europa Occidental,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,No,Vivienda compartida,Alquiler,Centro,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_698359ee7148b5a9731164bb,1994,32,Millennials,Hombre,Rumanía,Europa del Este,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,No,Pareja sin hijos,Alquiler,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_66316420ced02e8c467d22a2,1997,29,Millennials,Hombre,Dinamarca,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_698e260e1c956e03673d79ab,1992,34,Millennials,Mujer,Suecia,Europa del Norte,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Estudiante,Universitaria,Sí,Pareja sin hijos,Alquiler,Centro,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_6654840c725f74f1b0a206f9,2002,24,Generación Z,Mujer,Estonia,Europa del Norte,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Estudiante,No universitaria,Sí,Vive solo/a,Alquiler,Izquierda,Partidos nacionales,decision,prolific,usable
PROLIFIC_69d671f03dd875c20e4c0ce0,1993,33,Millennials,Mujer,Alemania,Europa Occidental,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda,Otras opciones,decision,prolific,usable
PROLIFIC_60456799ca80066961f3fa3c,1998,28,Millennials,Mujer,Portugal,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_69e7b977a16a3c9a2b839a87,1995,31,Millennials,Hombre,Italia,Europa del Sur,Ciudad pequeña (50.000-250.000 hab.),Clima cálido/mediterráneo,Empleado/a,No universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Centro,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_62ead0772116e6bc70b7cd09,1971,55,Generación X,Mujer,Reino Unido,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro,Otras opciones,decision,prolific,attention_check_fallido
PROLIFIC_6a0f3e08be88e41f0e239e45,2006,20,Generación Z,Mujer,Italia,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_6984b719db2917412dfc3135,1988,38,Millennials,Hombre,Alemania,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Vive solo/a,Alquiler,Extrema izquierda,Partidos nacionales,decision,prolific,usable
PROLIFIC_6167579b785195f0db610d94,2002,24,Generación Z,Mujer,Letonia,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Otro régimen,Extrema izquierda,Partidos nacionales,decision,prolific,usable
PROLIFIC_667971a555af1f83d3f29ae7,1994,32,Millennials,Hombre,Polonia,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a0d70f4edf77457443338ce,1988,38,Millennials,Hombre,Reino Unido,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Alquiler,Derecha,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_697a77ec6ca000317de70f17,2000,26,Millennials,Mujer,Francia,Europa Occidental,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_64a814776d0d667482bcf926,2001,25,Generación Z,Mujer,Eslovenia,Europa del Sur,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Estudiante,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_5cf510ccb0bafb00161ffd56,1998,28,Millennials,Mujer,Reino Unido,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,No universitaria,No,Hogar con hijos,Alquiler,Izquierda,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_6932bf332627def0f1f8a46b,1985,41,Generación X,Mujer,Hungría,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,NA,Propiedad sin hipoteca,Centro,Partidos nacionales,decision,prolific,usable
PROLIFIC_6646044a0b635b10c98237fb,1993,33,Millennials,Mujer,Polonia,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_5b3f242f9c2ec600014ef9fc,1980,46,Generación X,Mujer,Italia,Europa del Sur,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,Empleado/a,No universitaria,Sí,Vive solo/a,Otro régimen,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_697cae93b9bd8250922a71ce,1988,38,Millennials,Mujer,Dinamarca,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Propiedad con hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6a0202e1fdb933b3a6bc8fe9,2002,24,Generación Z,Mujer,Francia,Europa Occidental,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Estudiante,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda,Otras opciones,decision,prolific,attention_check_fallido
PROLIFIC_6a2055cd337ccac293eb2ef8,1998,28,Millennials,Hombre,Reino Unido,Europa del Norte,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,No universitaria,No,Vivienda compartida,Alquiler,NA,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_6a01a5353d69fb639148aa20,1990,36,Millennials,Hombre,Italia,Europa del Sur,Municipio pequeño (1.000-10.000 hab.),Clima cálido/mediterráneo,Empleado/a,No universitaria,Sí,Vive solo/a,Alquiler,Derecha,Partidos regionalistas/independentistas,decision,prolific,usable
PROLIFIC_696c724484bccbd980cd0e88,2004,22,Generación Z,Hombre,Polonia,Europa del Este,Ciudad pequeña (50.000-250.000 hab.),Clima templado,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Izquierda,Otras opciones,decision,prolific,usable
PROLIFIC_63ed0392b8b24c34aaf26310,1979,47,Generación X,Mujer,Reino Unido,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Alquiler,Centro,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_6a01f97615e1e34226c0c6de,2002,24,Generación Z,Mujer,Italia,Europa del Sur,Ciudad pequeña (50.000-250.000 hab.),Clima cálido/mediterráneo,Otra situación laboral,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_60827e52a046c9b82574d391,1993,33,Millennials,Hombre,Francia,Europa Occidental,Municipio pequeño (1.000-10.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro,Partidos nacionales,decision,prolific,usable
PROLIFIC_5e8f740429529124dfc3e7a5,2000,26,Millennials,Hombre,Polonia,Europa del Este,Ciudad mediana (250.000-500.000 hab.),Clima templado,Estudiante,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_6a0252dc959d360ed8448c2f,2000,26,Millennials,Mujer,Reino Unido,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_6a115c6b3c86f8c79ae47f0d,1997,29,Millennials,Hombre,Reino Unido,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima frío/polar,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_5d24b3cfa433c000166f91bf,1996,30,Millennials,Hombre,Alemania,Europa Occidental,Aldea o núcleo rural (<1.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_69a5621021a584cfa45f5f38,1992,34,Millennials,Mujer,Portugal,Europa del Sur,Aldea o núcleo rural (<1.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_5e4f73d0ca55663b5b9d18b0,1980,46,Generación X,Mujer,Francia,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Centro,No vota / blanco / nulo,decision,prolific,usable
