participant_id,year_of_birth,age,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation,vote_type,source_survey,identifier_type,row_quality
PROLIFIC_63b3377ca1ccdfc7cc567503,1962,64,Boomers + generación silenciosa,Hombre,Reino Unido,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro,Partidos nacionales,decision,prolific,usable
PROLIFIC_69809ce77983b24e7e0729b4,1999,27,Millennials,Mujer,Rumanía,Europa del Este,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_699e007dc8f8cbd074222f56,1988,38,Millennials,Hombre,Francia,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_56ab6fd869b24700065cbdbd,1968,58,Boomers + generación silenciosa,Hombre,Reino Unido,Europa del Norte,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_66bf543c179dbc75f790396c,2000,26,Millennials,Mujer,España,Europa del Sur,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,No,NA,Alquiler,Extrema izquierda,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_697263ffdf4adff3cfd20053,1998,28,Millennials,Mujer,Polonia,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,No universitaria,No,Hogar con hijos,Propiedad sin hipoteca,NA,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_654e38a9bd1961e9942af916,1999,27,Millennials,Mujer,Reino Unido,Europa del Norte,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,Universitaria,No,Vivienda compartida,Alquiler,NA,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_697f4a00c858108580e08f4b,2000,26,Millennials,Mujer,Reino Unido,Europa del Norte,Ciudad grande (500.000-1.000.000 hab.),Clima frío/polar,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema derecha,No vota / blanco / nulo,decision,prolific,usable
PROLIFIC_609077b2d5f119a0c819a6cd,1997,29,Millennials,Hombre,Austria,Europa Occidental,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Alquiler,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_65410ad762a7e3c570b6273c,1989,37,Millennials,Hombre,Alemania,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima cálido/mediterráneo,Otra situación laboral,No universitaria,No,Hogar con hijos,Alquiler,Izquierda,No vota / blanco / nulo,decision,prolific,attention_check_fallido
420,NA,NA,NA,NA,Países Bajos,Europa Occidental,Ciudad grande (500.000-1.000.000 hab.),Clima templado,NA,NA,NA,NA,Propiedad con hipoteca,Izquierda,Voto variable según candidato/programa,concerns1,sin_identificador,usable
421,NA,NA,NA,NA,España,Europa del Sur,Ciudad mediana (250.000-500.000 hab.),Clima cálido/mediterráneo,NA,NA,NA,NA,Propiedad sin hipoteca,NA,NA,concerns1,sin_identificador,usable
