characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
  Hombre,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
  Mujer,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
  Otro / Prefiere no decirlo,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
  Hombre,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
  Mujer,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
  Otro / Prefiere no decirlo,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
  Hombre,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
  Mujer,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
  Otro / Prefiere no decirlo,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
País de residencia,,,,,,,,,
  España,186 (47.0%),9 (11.1%),40 (57.1%),36 (52.9%),9 (15.0%),45 (88.2%),31 (88.6%),3 (33.3%),0 (0.0%)
  Otro país europeo,210 (53.0%),72 (88.9%),30 (42.9%),32 (47.1%),51 (85.0%),6 (11.8%),4 (11.4%),6 (66.7%),1 (100.0%)
  España,186 (47.0%),9 (11.1%),40 (57.1%),36 (52.9%),9 (15.0%),45 (88.2%),31 (88.6%),3 (33.3%),0 (0.0%)
  Otro país europeo,210 (53.0%),72 (88.9%),30 (42.9%),32 (47.1%),51 (85.0%),6 (11.8%),4 (11.4%),6 (66.7%),1 (100.0%)
Región europea,,,,,,,,,
  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Europa Occidental,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
  Europa del Este,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
  Europa del Norte,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
  Europa del Sur,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
  Otra región,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
