section_order,row_order,row_type,characteristic,profile_group,value
1,1,data,N participants,Activist,71
1,1,data,N participants,Careful,82
1,1,data,N participants,Early adopter,1
1,1,data,N participants,Fearful,68
1,1,data,N participants,Homo economicus,60
1,1,data,N participants,Influencer,35
1,1,data,N participants,Stubborn,55
1,1,data,N participants,Total,403
1,1,data,N participants,Uninterested,9
2,1,data,"Age, years (mean (SD))",Activist,46.7 (15.6)
2,1,data,"Age, years (mean (SD))",Careful,34.6 (10.9)
2,1,data,"Age, years (mean (SD))",Early adopter,28.0 (NA)
2,1,data,"Age, years (mean (SD))",Fearful,46.1 (16.1)
2,1,data,"Age, years (mean (SD))",Homo economicus,37.5 (11.3)
2,1,data,"Age, years (mean (SD))",Influencer,53.7 (12.7)
2,1,data,"Age, years (mean (SD))",Stubborn,50.6 (13.0)
2,1,data,"Age, years (mean (SD))",Total,43.9 (14.9)
2,1,data,"Age, years (mean (SD))",Uninterested,34.4 (11.1)
3,0,header,Generation,Activist,
3,0,header,Generation,Careful,
3,0,header,Generation,Early adopter,
3,0,header,Generation,Fearful,
3,0,header,Generation,Homo economicus,
3,0,header,Generation,Influencer,
3,0,header,Generation,Stubborn,
3,0,header,Generation,Total,
3,0,header,Generation,Uninterested,
3,1,data,  Boomers +,Activist,23 (34.3%)
3,1,data,  Boomers +,Careful,7 (9.1%)
3,1,data,  Boomers +,Early adopter,0 (0.0%)
3,1,data,  Boomers +,Fearful,21 (31.8%)
3,1,data,  Boomers +,Homo economicus,6 (10.2%)
3,1,data,  Boomers +,Influencer,19 (54.3%)
3,1,data,  Boomers +,Stubborn,21 (38.2%)
3,1,data,  Boomers +,Total,105 (27.1%)
3,1,data,  Boomers +,Uninterested,0 (0.0%)
3,1,data,  Generation X,Activist,18 (26.9%)
3,1,data,  Generation X,Careful,12 (15.6%)
3,1,data,  Generation X,Early adopter,0 (0.0%)
3,1,data,  Generation X,Fearful,18 (27.3%)
3,1,data,  Generation X,Homo economicus,12 (20.3%)
3,1,data,  Generation X,Influencer,10 (28.6%)
3,1,data,  Generation X,Stubborn,23 (41.8%)
3,1,data,  Generation X,Total,103 (26.6%)
3,1,data,  Generation X,Uninterested,3 (33.3%)
3,1,data,  Generation Z,Activist,7 (10.4%)
3,1,data,  Generation Z,Careful,11 (14.3%)
3,1,data,  Generation Z,Early adopter,0 (0.0%)
3,1,data,  Generation Z,Fearful,6 (9.1%)
3,1,data,  Generation Z,Homo economicus,8 (13.6%)
3,1,data,  Generation Z,Influencer,0 (0.0%)
3,1,data,  Generation Z,Stubborn,2 (3.6%)
3,1,data,  Generation Z,Total,36 (9.3%)
3,1,data,  Generation Z,Uninterested,2 (22.2%)
3,1,data,  Millennials,Activist,19 (28.4%)
3,1,data,  Millennials,Careful,47 (61.0%)
3,1,data,  Millennials,Early adopter,1 (100.0%)
3,1,data,  Millennials,Fearful,21 (31.8%)
3,1,data,  Millennials,Homo economicus,33 (55.9%)
3,1,data,  Millennials,Influencer,6 (17.1%)
3,1,data,  Millennials,Stubborn,9 (16.4%)
3,1,data,  Millennials,Total,143 (37.0%)
3,1,data,  Millennials,Uninterested,4 (44.4%)
3,2,data,  Boomers +,Activist,23 (34.3%)
3,2,data,  Boomers +,Careful,7 (9.1%)
3,2,data,  Boomers +,Early adopter,0 (0.0%)
3,2,data,  Boomers +,Fearful,21 (31.8%)
3,2,data,  Boomers +,Homo economicus,6 (10.2%)
3,2,data,  Boomers +,Influencer,19 (54.3%)
3,2,data,  Boomers +,Stubborn,21 (38.2%)
3,2,data,  Boomers +,Total,105 (27.1%)
3,2,data,  Boomers +,Uninterested,0 (0.0%)
3,2,data,  Generation X,Activist,18 (26.9%)
3,2,data,  Generation X,Careful,12 (15.6%)
3,2,data,  Generation X,Early adopter,0 (0.0%)
3,2,data,  Generation X,Fearful,18 (27.3%)
3,2,data,  Generation X,Homo economicus,12 (20.3%)
3,2,data,  Generation X,Influencer,10 (28.6%)
3,2,data,  Generation X,Stubborn,23 (41.8%)
3,2,data,  Generation X,Total,103 (26.6%)
3,2,data,  Generation X,Uninterested,3 (33.3%)
3,2,data,  Generation Z,Activist,7 (10.4%)
3,2,data,  Generation Z,Careful,11 (14.3%)
3,2,data,  Generation Z,Early adopter,0 (0.0%)
3,2,data,  Generation Z,Fearful,6 (9.1%)
3,2,data,  Generation Z,Homo economicus,8 (13.6%)
3,2,data,  Generation Z,Influencer,0 (0.0%)
3,2,data,  Generation Z,Stubborn,2 (3.6%)
3,2,data,  Generation Z,Total,36 (9.3%)
3,2,data,  Generation Z,Uninterested,2 (22.2%)
3,2,data,  Millennials,Activist,19 (28.4%)
3,2,data,  Millennials,Careful,47 (61.0%)
3,2,data,  Millennials,Early adopter,1 (100.0%)
3,2,data,  Millennials,Fearful,21 (31.8%)
3,2,data,  Millennials,Homo economicus,33 (55.9%)
3,2,data,  Millennials,Influencer,6 (17.1%)
3,2,data,  Millennials,Stubborn,9 (16.4%)
3,2,data,  Millennials,Total,143 (37.0%)
3,2,data,  Millennials,Uninterested,4 (44.4%)
3,3,data,  Boomers +,Activist,23 (34.3%)
3,3,data,  Boomers +,Careful,7 (9.1%)
3,3,data,  Boomers +,Early adopter,0 (0.0%)
3,3,data,  Boomers +,Fearful,21 (31.8%)
3,3,data,  Boomers +,Homo economicus,6 (10.2%)
3,3,data,  Boomers +,Influencer,19 (54.3%)
3,3,data,  Boomers +,Stubborn,21 (38.2%)
3,3,data,  Boomers +,Total,105 (27.1%)
3,3,data,  Boomers +,Uninterested,0 (0.0%)
3,3,data,  Generation X,Activist,18 (26.9%)
3,3,data,  Generation X,Careful,12 (15.6%)
3,3,data,  Generation X,Early adopter,0 (0.0%)
3,3,data,  Generation X,Fearful,18 (27.3%)
3,3,data,  Generation X,Homo economicus,12 (20.3%)
3,3,data,  Generation X,Influencer,10 (28.6%)
3,3,data,  Generation X,Stubborn,23 (41.8%)
3,3,data,  Generation X,Total,103 (26.6%)
3,3,data,  Generation X,Uninterested,3 (33.3%)
3,3,data,  Generation Z,Activist,7 (10.4%)
3,3,data,  Generation Z,Careful,11 (14.3%)
3,3,data,  Generation Z,Early adopter,0 (0.0%)
3,3,data,  Generation Z,Fearful,6 (9.1%)
3,3,data,  Generation Z,Homo economicus,8 (13.6%)
3,3,data,  Generation Z,Influencer,0 (0.0%)
3,3,data,  Generation Z,Stubborn,2 (3.6%)
3,3,data,  Generation Z,Total,36 (9.3%)
3,3,data,  Generation Z,Uninterested,2 (22.2%)
3,3,data,  Millennials,Activist,19 (28.4%)
3,3,data,  Millennials,Careful,47 (61.0%)
3,3,data,  Millennials,Early adopter,1 (100.0%)
3,3,data,  Millennials,Fearful,21 (31.8%)
3,3,data,  Millennials,Homo economicus,33 (55.9%)
3,3,data,  Millennials,Influencer,6 (17.1%)
3,3,data,  Millennials,Stubborn,9 (16.4%)
3,3,data,  Millennials,Total,143 (37.0%)
3,3,data,  Millennials,Uninterested,4 (44.4%)
3,4,data,  Boomers +,Activist,23 (34.3%)
3,4,data,  Boomers +,Careful,7 (9.1%)
3,4,data,  Boomers +,Early adopter,0 (0.0%)
3,4,data,  Boomers +,Fearful,21 (31.8%)
3,4,data,  Boomers +,Homo economicus,6 (10.2%)
3,4,data,  Boomers +,Influencer,19 (54.3%)
3,4,data,  Boomers +,Stubborn,21 (38.2%)
3,4,data,  Boomers +,Total,105 (27.1%)
3,4,data,  Boomers +,Uninterested,0 (0.0%)
3,4,data,  Generation X,Activist,18 (26.9%)
3,4,data,  Generation X,Careful,12 (15.6%)
3,4,data,  Generation X,Early adopter,0 (0.0%)
3,4,data,  Generation X,Fearful,18 (27.3%)
3,4,data,  Generation X,Homo economicus,12 (20.3%)
3,4,data,  Generation X,Influencer,10 (28.6%)
3,4,data,  Generation X,Stubborn,23 (41.8%)
3,4,data,  Generation X,Total,103 (26.6%)
3,4,data,  Generation X,Uninterested,3 (33.3%)
3,4,data,  Generation Z,Activist,7 (10.4%)
3,4,data,  Generation Z,Careful,11 (14.3%)
3,4,data,  Generation Z,Early adopter,0 (0.0%)
3,4,data,  Generation Z,Fearful,6 (9.1%)
3,4,data,  Generation Z,Homo economicus,8 (13.6%)
3,4,data,  Generation Z,Influencer,0 (0.0%)
3,4,data,  Generation Z,Stubborn,2 (3.6%)
3,4,data,  Generation Z,Total,36 (9.3%)
3,4,data,  Generation Z,Uninterested,2 (22.2%)
3,4,data,  Millennials,Activist,19 (28.4%)
3,4,data,  Millennials,Careful,47 (61.0%)
3,4,data,  Millennials,Early adopter,1 (100.0%)
3,4,data,  Millennials,Fearful,21 (31.8%)
3,4,data,  Millennials,Homo economicus,33 (55.9%)
3,4,data,  Millennials,Influencer,6 (17.1%)
3,4,data,  Millennials,Stubborn,9 (16.4%)
3,4,data,  Millennials,Total,143 (37.0%)
3,4,data,  Millennials,Uninterested,4 (44.4%)
4,0,header,Gender,Activist,
4,0,header,Gender,Careful,
4,0,header,Gender,Early adopter,
4,0,header,Gender,Fearful,
4,0,header,Gender,Homo economicus,
4,0,header,Gender,Influencer,
4,0,header,Gender,Stubborn,
4,0,header,Gender,Total,
4,0,header,Gender,Uninterested,
4,1,data,  Female,Activist,27 (39.7%)
4,1,data,  Female,Careful,48 (63.2%)
4,1,data,  Female,Early adopter,1 (100.0%)
4,1,data,  Female,Fearful,35 (52.2%)
4,1,data,  Female,Homo economicus,44 (73.3%)
4,1,data,  Female,Influencer,12 (35.3%)
4,1,data,  Female,Stubborn,10 (18.2%)
4,1,data,  Female,Total,192 (49.5%)
4,1,data,  Female,Uninterested,5 (55.6%)
4,1,data,  Male,Activist,39 (57.4%)
4,1,data,  Male,Careful,28 (36.8%)
4,1,data,  Male,Early adopter,0 (0.0%)
4,1,data,  Male,Fearful,32 (47.8%)
4,1,data,  Male,Homo economicus,16 (26.7%)
4,1,data,  Male,Influencer,22 (64.7%)
4,1,data,  Male,Stubborn,44 (80.0%)
4,1,data,  Male,Total,192 (49.5%)
4,1,data,  Male,Uninterested,3 (33.3%)
4,1,data,  Other / Prefer not to say,Activist,2 (2.9%)
4,1,data,  Other / Prefer not to say,Careful,0 (0.0%)
4,1,data,  Other / Prefer not to say,Early adopter,0 (0.0%)
4,1,data,  Other / Prefer not to say,Fearful,0 (0.0%)
4,1,data,  Other / Prefer not to say,Homo economicus,0 (0.0%)
4,1,data,  Other / Prefer not to say,Influencer,0 (0.0%)
4,1,data,  Other / Prefer not to say,Stubborn,1 (1.8%)
4,1,data,  Other / Prefer not to say,Total,4 (1.0%)
4,1,data,  Other / Prefer not to say,Uninterested,1 (11.1%)
4,2,data,  Female,Activist,27 (39.7%)
4,2,data,  Female,Careful,48 (63.2%)
4,2,data,  Female,Early adopter,1 (100.0%)
4,2,data,  Female,Fearful,35 (52.2%)
4,2,data,  Female,Homo economicus,44 (73.3%)
4,2,data,  Female,Influencer,12 (35.3%)
4,2,data,  Female,Stubborn,10 (18.2%)
4,2,data,  Female,Total,192 (49.5%)
4,2,data,  Female,Uninterested,5 (55.6%)
4,2,data,  Male,Activist,39 (57.4%)
4,2,data,  Male,Careful,28 (36.8%)
4,2,data,  Male,Early adopter,0 (0.0%)
4,2,data,  Male,Fearful,32 (47.8%)
4,2,data,  Male,Homo economicus,16 (26.7%)
4,2,data,  Male,Influencer,22 (64.7%)
4,2,data,  Male,Stubborn,44 (80.0%)
4,2,data,  Male,Total,192 (49.5%)
4,2,data,  Male,Uninterested,3 (33.3%)
4,2,data,  Other / Prefer not to say,Activist,2 (2.9%)
4,2,data,  Other / Prefer not to say,Careful,0 (0.0%)
4,2,data,  Other / Prefer not to say,Early adopter,0 (0.0%)
4,2,data,  Other / Prefer not to say,Fearful,0 (0.0%)
4,2,data,  Other / Prefer not to say,Homo economicus,0 (0.0%)
4,2,data,  Other / Prefer not to say,Influencer,0 (0.0%)
4,2,data,  Other / Prefer not to say,Stubborn,1 (1.8%)
4,2,data,  Other / Prefer not to say,Total,4 (1.0%)
4,2,data,  Other / Prefer not to say,Uninterested,1 (11.1%)
4,3,data,  Female,Activist,27 (39.7%)
4,3,data,  Female,Careful,48 (63.2%)
4,3,data,  Female,Early adopter,1 (100.0%)
4,3,data,  Female,Fearful,35 (52.2%)
4,3,data,  Female,Homo economicus,44 (73.3%)
4,3,data,  Female,Influencer,12 (35.3%)
4,3,data,  Female,Stubborn,10 (18.2%)
4,3,data,  Female,Total,192 (49.5%)
4,3,data,  Female,Uninterested,5 (55.6%)
4,3,data,  Male,Activist,39 (57.4%)
4,3,data,  Male,Careful,28 (36.8%)
4,3,data,  Male,Early adopter,0 (0.0%)
4,3,data,  Male,Fearful,32 (47.8%)
4,3,data,  Male,Homo economicus,16 (26.7%)
4,3,data,  Male,Influencer,22 (64.7%)
4,3,data,  Male,Stubborn,44 (80.0%)
4,3,data,  Male,Total,192 (49.5%)
4,3,data,  Male,Uninterested,3 (33.3%)
