age_group,gender_pyramid,generation_pyramid,n,total_valid,pct_total,pct_signed,n_signed
19-24,Hombre,Generación Z,10,381,2.6246719160104988,-2.6246719160104988,-10
19-24,Hombre,Millennials,0,381,0,-0,0
19-24,Hombre,Generación X,0,381,0,-0,0
19-24,Hombre,Boomers + generación silenciosa,0,381,0,-0,0
19-24,Mujer,Generación Z,20,381,5.2493438320209975,5.2493438320209975,20
19-24,Mujer,Millennials,0,381,0,0,0
19-24,Mujer,Generación X,0,381,0,0,0
19-24,Mujer,Boomers + generación silenciosa,0,381,0,0,0
25-29,Hombre,Generación Z,1,381,0.26246719160104987,-0.26246719160104987,-1
25-29,Hombre,Millennials,14,381,3.674540682414698,-3.674540682414698,-14
25-29,Hombre,Generación X,0,381,0,-0,0
25-29,Hombre,Boomers + generación silenciosa,0,381,0,-0,0
25-29,Mujer,Generación Z,5,381,1.3123359580052494,1.3123359580052494,5
25-29,Mujer,Millennials,32,381,8.398950131233596,8.398950131233596,32
25-29,Mujer,Generación X,0,381,0,0,0
25-29,Mujer,Boomers + generación silenciosa,0,381,0,0,0
30-34,Hombre,Generación Z,0,381,0,-0,0
30-34,Hombre,Millennials,18,381,4.724409448818897,-4.724409448818897,-18
30-34,Hombre,Generación X,0,381,0,-0,0
30-34,Hombre,Boomers + generación silenciosa,0,381,0,-0,0
30-34,Mujer,Generación Z,0,381,0,0,0
30-34,Mujer,Millennials,31,381,8.136482939632545,8.136482939632545,31
30-34,Mujer,Generación X,0,381,0,0,0
30-34,Mujer,Boomers + generación silenciosa,0,381,0,0,0
35-39,Hombre,Generación Z,0,381,0,-0,0
35-39,Hombre,Millennials,17,381,4.4619422572178475,-4.4619422572178475,-17
35-39,Hombre,Generación X,0,381,0,-0,0
35-39,Hombre,Boomers + generación silenciosa,0,381,0,-0,0
35-39,Mujer,Generación Z,0,381,0,0,0
35-39,Mujer,Millennials,23,381,6.036745406824147,6.036745406824147,23
35-39,Mujer,Generación X,0,381,0,0,0
35-39,Mujer,Boomers + generación silenciosa,0,381,0,0,0
40-44,Hombre,Generación Z,0,381,0,-0,0
40-44,Hombre,Millennials,0,381,0,-0,0
40-44,Hombre,Generación X,17,381,4.4619422572178475,-4.4619422572178475,-17
40-44,Hombre,Boomers + generación silenciosa,0,381,0,-0,0
40-44,Mujer,Generación Z,0,381,0,0,0
40-44,Mujer,Millennials,6,381,1.5748031496062993,1.5748031496062993,6
