"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,1,2,0.00025
2,3,9,0.001125
3,17,79,0.009875
4,92,678,0.08475
5,322,4328,0.541
6,817,140680,17.585
7,1741,180626,22.57825
8,3117,215337,26.917125
9,6909,287648,35.956
10,8837,319835,39.979375
11,16546,515970,64.49625
12,18510,583697,72.962125
13,25066,715703,89.462875
14,26623,752371,94.046375
15,29758,790258,98.78225
16,30541,794682,99.33525
17,31712,799015,99.876875
18,31859,799292,99.9115
19,32133,799977,99.997125
20,32138,799983,99.997875
