"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",1968817,24.6102125
2,"Influencer",169756,2.12195
3,"Early Adopter",34538,0.431725
4,"Fearful",14256,0.1782
5,"Careful",9020,0.11275
6,"Activist",6414,0.080175
7,"Homo Economicus",2974,0.037175
8,"Uninterested",8,1e-04
