"D","assigned_pct","unassigned_pct"
0,0.0124409056979348,99.9875590943021
1,0.248818113958696,99.7511818860413
2,1.35294849465041,98.6470515053496
3,3.74471261507838,96.2552873849216
4,11.4238616571286,88.5761383428714
5,18.2663597909928,81.7336402090072
6,33.9107987061458,66.0892012938542
7,43.8541925852202,56.1458074147798
8,66.5930579746205,33.4069420253795
9,82.6107240607116,17.3892759392884
10,85.9977606369744,14.0022393630256
11,86.7193331674546,13.2806668325454
12,97.3407564070664,2.65924359293357
13,97.7730778800697,2.22692211993033
14,99.3748444886788,0.625155511321224
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
