"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Careful",100,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS",5
"cluster_2","Influencer",50,"FINANCIAL; RELATEDNESS; STIMULATION; POPULARITY; MEANING",5
