"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"Careful","pattern_1577",1577,2,237
"Early Adopter","pattern_1578",1578,4,3
"Homo Economicus","pattern_4819",4819,4,3
"Uninterested","pattern_27422",27422,3,1
"Fearful","pattern_24093",24093,2,1
"Stubborn","pattern_27919",27919,2,1
"Influencer","pattern_21509",21509,2,1
